date,country,iso3,confirmed,deaths,death_pos,pos_test,test_wom,test_million_wom,population,idb,population_million,deaths_million
4/5/20,Argentina,ARG,1451,44,.030323915,.17094722,8488,188,44494502,1,44.494503,.98888618
4/5/20,Bolivia,BOL,157,10,.063694268,.26565143,591,51,11353142,1,11.353142,.88081348
4/5/20,Brazil,BRA,11130,486,.043665767,.20301329,54824,258,209469333,1,209.46933,2.3201487
4/5/20,Chile,CHL,4665,34,.0072883172,.089787513,51956,2718,18729160,1,18.72916,1.815351
4/5/20,Colombia,COL,1485,35,.023569023,.062642366,23706,466,49648685,1,49.648685,.70495319
4/5/20,Dominican Republic,DOM,1745,82,.046991404,.38419199,4542,419,10627165,1,10.627165,7.7160749
4/5/20,Ecuador,ECU,3646,180,.049369171,.2943646,12386,702,17084357,1,17.084356,10.535954
4/5/20,France,FRA,70478,8078,.11461733,.31427756,224254,3436,66977107,,66.977104,120.60838
4/5/20,Germany,DEU,100123,1584,.01582054,.10901182,918460,10962,82905782,,82.905785,19.106026
4/5/20,Honduras,HND,268,22,.082089551,,,,9587522,1,9.5875216,2.2946494
4/5/20,Italy,ITA,128948,15887,.1232047,.18648629,691461,11436,60421760,,60.421761,262.93506
4/5/20,Japan,JPN,3876,93,.023993809,.086829901,44639,353,126529100,,126.5291,.73500878
4/5/20,Mexico,MEX,2143,94,.043863744,.12470903,17184,133,126190788,1,126.19079,.7449038
4/5/20,Panama,PAN,1801,46,.025541365,.19457649,9256,2145,4176873,1,4.1768732,11.013022
4/5/20,Peru,PER,2281,83,.036387548,.11751674,19410,589,31989256,1,31.989256,2.5946212
4/5/20,Spain,ESP,131646,12641,.096022666,.37083381,355000,7593,46796540,,46.796539,270.1268
4/5/20,United Kingdom,GBR,60792,5873,.09660811,.31091836,195524,2880,66460344,,66.460342,88.368492
4/5/20,United States,USA,341489,12426,.036387701,.19267376,1772369,5355,326687501,,326.6875,38.03635
4/6/20,Argentina,ARG,1554,48,.03088803,.14511159,10709,237,44494502,1,44.494503,1.0787849
4/6/20,Bolivia,BOL,183,11,.060109291,.30964467,591,51,11353142,1,11.353142,.96889478
4/6/20,Brazil,BRA,12161,564,.046377763,.22181891,54824,258,209469333,1,209.46933,2.6925182
4/6/20,Chile,CHL,5009,37,.007386704,.091298483,54864,2870,18729160,1,18.72916,1.9755291
4/6/20,Colombia,COL,1579,46,.029132362,.057034496,27685,544,49648685,1,49.648685,.92650992
4/6/20,Dominican Republic,DOM,1828,86,.047045954,.40246588,4542,419,10627165,1,10.627165,8.0924692
4/6/20,Ecuador,ECU,3747,191,.050974112,.28736866,13039,739,17084357,1,17.084356,11.179818
4/6/20,France,FRA,74390,8911,.1197876,.33172205,224254,3436,66977107,,66.977104,133.04547
4/6/20,Germany,DEU,103374,1810,.017509239,.11255144,918460,10962,82905782,,82.905785,21.83201
4/6/20,Honduras,HND,298,22,.073825501,,,,9587522,1,9.5875216,2.2946494
4/6/20,Italy,ITA,132547,16523,.12465767,.18365127,721732,11937,60421760,,60.421761,273.46109
4/6/20,Japan,JPN,4110,96,.023357663,.089014985,46172,365,126529100,,126.5291,.75871873
4/6/20,Mexico,MEX,2439,125,.051250514,.13524453,18034,140,126190788,1,126.19079,.99056357
4/6/20,Panama,PAN,1988,54,.027162978,.19306594,10297,2386,4176873,1,4.1768732,12.928331
4/6/20,Peru,PER,2561,92,.035923466,.12545311,20414,619,31989256,1,31.989256,2.8759656
