Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020
Cameroon,CMR,Africa,Sub-Saharan Africa,Middle Africa,.,.,.,Africa,https://www.countryflags.io/cm/flat/64.png,25216237,25.21623611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0132189961,.0132189961,.0264379922,.0132189961,.0660949796,.0528759845,.0528759845,0,.0132189961,.0264379922,.0396569893,.0264379922,.0132189961,0,.0132189961,.0132189961,.0396569893,.0264379922,.0264379922,0,.0264379922,.0660949796,.1321899593,.1057519689,.0660949796,.2643799186,.2643799186,.2775989175,.0132189961,.0132189961,0,.1321899593,.171846956,.1982849389,.0660949796,.0660949796,.0396569893,.0396569893,.0396569893,.0396569893,.0396569893,0,.5816358328,.5816358328,.5816358328,0,.0793139786,.2247229367,.2247229367,.2908179164,.1850659549,.1982849389,.0528759845,.0132189961,0,0,.0793139786,.2115039378,.2511609197,.171846956,.1189709678,.0793139786,.2115039378,.1321899593,.1321899593,.0264379922,.2115039378,.2115039378,.2908179164,.1189709678,.1189709678,.0528759845,.0660949796,.1586279571,.1189709678,.0925329775,0,0,0,0,0,0,.8460157514,.8460157514,.8460157514,0,0
Cote d'Ivoire,CIV,Africa,Sub-Saharan Africa,Western Africa,.,.,.,Africa,https://www.countryflags.io/ci/flat/64.png,25069229,25.06922913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0132965129,.0132965129,.0132965129,0,0,0,0,.0265930258,.0265930258,.0265930258,0,0,0,.0132965129,.0265930258,.0398895405,.0265930258,.0132965129,0,0,.0265930258,.0398895405,.0398895405,.0664825663,.0664825663,.0664825663,.0132965129,0,0,0,0,0,0,.0132965129,.0132965129,.0398895405,.0265930258,.0398895405,.0132965129,.0398895405,.0265930258,.0398895405,.0132965129,.0132965129,0,.0398895405,.0398895405,.0398895405,.0132965129,.0398895405,.0531860515,.0398895405,.0265930258,.0132965129,.0132965129,.0132965129,.0132965129,.0132965129,0,.0132965129,.0265930258,.0265930258,.0265930258,.0132965129,.0132965129,0,.0265930258,.0265930258,.0398895405,.0132965129,.0132965129,.0265930258,.0265930258,.0664825663,.0398895405,.0930755883,.0531860515,.0531860515,.0132965129,.0132965129,.0398895405,.0398895405,.0598343089
China,CHN,Asia,Eastern Asia,,.,.,.,Asia,https://www.countryflags.io/cn/flat/64.png,1392730000,1392.72998,.0032310642,.0059834523,.0090948474,.0134029333,.0213010907,.0184290335,.0213010907,.0196257234,.0301565994,.0454742387,.0507396758,.0555264354,.048346296,.0497823209,.0543297455,.0579198189,.0650999621,.0703653991,.0734767914,.0507396758,.0854436979,.0978892818,.1306785941,.0950172246,.0820929632,.0813749507,.0837683305,.089512445,.0562444516,.0782635584,.0495429859,.0854436979,.0531330556,.0650999621,.0361400507,.0299172606,.0287205707,.0301565994,.0296779238,.0263271891,.0265665278,.024173148,.0232157949,.0213010907,.0203437377,.018907709,.0160356518,.0145996232,.0117275668,.0098128617,.0076588187,.0074194809,.0088555096,.0088555096,.0090948474,.0076588187,.0055047763,.0043080854,.0059834523,.0050260997,.005265438,.002632719,.0040687476,.0035900713,.0033507333,.0031113951,.002872057,.002393381,.002872057,.0033507333,.0040687476,.0033507333,.002632719,.0021540427,.0011966905,.0009573523,.0009573523,.0011966905,.0014360285,.0009573523,.0011966905,.0004786762,.0007180143,.0002393381,.3089854717,.3087461293,.3087461293,0,0,0,0,0,0,.0002393381,.0002393381,.0002393381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0002393381,.0002393381,.0002393381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/cl/flat/64.png,18729160,18.72916031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0177975595,.035595119,.035595119,.035595119,.035595119,.0533926748,.0533926748,.0533926748,.0533926748,.1067853495,.1601780355,.177975595,.177975595,.1957731545,.284760952,.2669633925,.284760952,.2491658181,.35595119,.391546309,.4449389577,.4093438685,.3025585115,.3381536305,.2491658181,.4093438685,.4271413982,.569521904,.4983316362,.4093438685,.3737487495,.4805340767,.5161291957,.4805340767,.3737487495,.3737487495,.4271413982,.4627365172,.4805340767,.5161291957,.4805340767,.5517243147,.5873194337,.640712142,.4983316362,.3737487495,.2669633925,.3381536305,.4093438685,.4805340767,.5161291957,.5517243147,.605117023,.8008901477,1.050055981,1.334816933,1.459399819,1.494994998,1.566185236,1.672970533,1.975529075,2.15350461,2.295885086,2.295885086,2.331480265,2.367075443,2.189099789,2.295885086,2.456063032,2.776419163,2.918799639,3.007787466,3.399333715,3.933260441,4.32480669,4.627365112,4.734150887,5.001113892,14.52280807,13.20578861,14.91435432,6.834262371,10.4471674,11.14127159,12.01335239,8.756399155,5.018911839,5.196887016,8.52503109,12.22692299
Switzerland,CHE,Europe,Western Europe,,.,.,.,Europe,https://www.countryflags.io/ch/flat/64.png,8513227,8.513227463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0391547531,.0391547531,.0391547531,.0391547531,.0391547531,.0783095062,.0783095062,.0783095062,.3132380247,.3523927927,.3915475607,.1174642667,.548166573,.548166573,1.057178378,1.057178378,1.840273499,2.23182106,2.584213734,1.840273499,2.153511524,2.779987574,4.267868042,4.346177578,4.267868042,5.011808395,6.617153645,7.361093998,6.930391788,6.186451435,6.969546318,7.008701324,6.812927246,6.068986893,7.047855854,7.16531992,7.087010384,5.520820618,6.186451435,5.325046539,5.403356075,5.207582474,5.599130154,5.990677357,5.050963402,4.385332584,3.993784904,4.307023048,4.541951656,4.698570728,4.346177578,3.523927927,2.388440132,2.975761414,3.915475368,4.150403976,2.819142342,2.153511524,1.801118731,.9788688421,1.174642682,1.292106867,1.683654428,1.01802361,1.096333146,.9788688421,.9005593657,.8614045978,1.448725939,1.448725939,1.057178378,.4307022989,.3523927927,.3523927927,.3132380247,.4698570669,.4307022989,.4698570669,.4698570669,.5090118051,.3132380247,.3915475607,.3915475607,.4307022989,.2349285334,.1566190124,.0783095062,.0391547531,.0391547531,.0391547531,.0391547531,.0391547531,.0391547531,0,0,.0783095062,.5090118051,.587321341,.548166573,.1566190124,.0783095062,.0391547531,.0391547531,.6264760494,.7047855854,.6656308174,.1174642667
Canada,CAN,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/ca/flat/64.png,37057765,37.05776596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0089949658,.0089949658,.0089949658,0,0,0,0,.0269848965,.0359798633,.0629647598,.04497483,.0629647598,.0989446193,.107939586,.1169345528,.0629647598,.0809546933,.1169345528,.2518590391,.2788439393,.2338691056,.2338691056,.35979864,.4047734439,.5307029486,.7016073465,.9804512858,1.07939589,1.43919456,1.41220963,1.331254959,1.475174427,1.637083769,2.221756458,1.897937775,2.014872313,2.221756458,2.644519806,4.299593449,4.092709541,3.535021544,2.752459526,3.337132215,4.578437328,4.614417553,4.623412132,4.425523281,4.43451786,4.011754513,3.948789835,3.705925941,4.209643841,4.218638897,4.98321104,4.758337021,4.362558365,4.191654205,4.551452637,5.136125565,4.839291573,4.560447693,4.110699177,4.047734737,3.759895563,4.290598869,3.903815031,4.290598869,3.409091949,3.373112202,2.79743433,2.527585268,2.05085206,2.221756458,2.761454582,2.986328602,2.842409134,2.401655912,2.653514862,2.581555128,3.07627821,2.941353798,2.788439274,2.54557538,3.526026487,3.067283392,2.869394064,1.843967915,2.815424204,2.698489666,2.43763566,1.43919456,1.187335491,1.07939589,1.448189497,1.448189497,1.394219637,1.304270029,1.322259903,.9264814854,.7915569544,.8455267549,1.196330428,1.214320421
Central African Republic,CAF,Africa,Sub-Saharan Africa,Middle Africa,.,.,.,Africa,https://www.countryflags.io/cf/flat/64.png,4666377,4.666377068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0714330077,.0714330077,.0714330077,0,0,0,0,0,.0714330077,.2142990083,.2142990083,.1428660154,0,0,.0714330077,.0714330077,.0714330077,0,0,0,.1428660154,.1428660154,.1428660154,0,.500031054,.7857630253,.857196033,.5357475281
Botswana,BWA,Africa,Sub-Saharan Africa,Southern Africa,.,.,.,Africa,https://www.countryflags.io/bw/flat/64.png,2254126,2.254126072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.147876963,.147876963,.147876963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,Asia,Southern Asia,,.,.,.,Asia,https://www.countryflags.io/bt/flat/64.png,754394,.7543939948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,BRN,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/bn/flat/64.png,428962,.4289619923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.7770696282,.7770696282,.7770696282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.7770696282,.7770696282,.7770696282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.7770696282,.7770696282,.7770696282,0
