Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020
Barbados,BRB,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/bb/flat/64.png,286641,.2866410017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.162894845,2.32578969,3.488684416,2.32578969,1.162894845,1.162894845,1.162894845,1.162894845,0,0,1.162894845,1.162894845,1.162894845,0,0,0,0,0,1.162894845,1.162894845,1.162894845,0,0,0,1.162894845,1.162894845,1.162894845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,BRA,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/br/flat/64.png,209469333,209.4693298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0015913228,.0047739684,.0095479367,.0159132294,.0190958735,.0302351341,.0366004258,.0493310094,.0541049764,.0684268847,.0732008517,.0827487856,.0938880518,.1066186354,.1432190537,.1654975712,.2625682652,.2514290214,.3262211978,.2577942908,.3262211978,.3835088015,.5299105048,.6142506003,.5903807878,.4853534698,.4344311357,.431248486,.6492597461,.8163486123,.948428452,.9691156149,.9834375381,.8561316729,.7097299695,.6158419251,.7065473795,1.183944225,1.532443881,1.831612587,1.519713283,1.430599213,1.632697225,1.952553153,2.232625961,2.114868164,1.985970974,1.662932396,1.519713283,1.872987032,2.445863247,2.900981665,3.308360338,3.290855646,3.076027155,2.603404284,2.872337818,3.368830442,3.733243465,3.979898453,3.854183912,3.372013092,3.009191513,3.693460464,4.361815929,5.082684994,4.87740469,5.019032478,4.167674541,3.858958006,3.976715803,4.66575861,5.221130371,5.35639286,5.149520874,4.073786736,3.276533842,3.763478518,5.146337986,6.498962402,6.089992523,5.381854057,3.87327981,3.354508638,3.940115452,5.132016182,6.02315712,5.44550705,4.837621689,3.839862108,3.39110899,4.011724949,5.057224274,6.029522419,5.984169483
Bolivia,BOL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/bo/flat/64.png,11353142,11.35314178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0293604489,.1174417958,.1761626899,.1761626899,.1174417958,.088081345,.088081345,.0587208979,.0587208979,.1174417958,.1468022466,.2055231333,.1468022466,.1468022466,.1761626899,.2348835915,.2348835915,.1174417958,.0587208979,.088081345,.088081345,.088081345,.0587208979,.088081345,.1468022466,.2936044931,.2936044931,.2642440498,.2055231333,.2642440498,.2642440498,.2642440498,.2642440498,.3229649365,.3523253798,.4110462666,.4697671831,.4404067397,.4404067397,.5872089863,.5872089863,.6752902865,.4697671831,.4697671831,.4110462666,.7046507597,.8808134794,1.056976199,.6752902865,.4991276264,.2936044931,.7046507597,.8808134794,1.203778386,1.203778386,1.203778386,1.027615666,.910173893,.9982552528,.8808134794,.9395343661,.7633716464,.8808134794,.5872089863,1.262499332,1.937789559,2.554358959,2.113952398,1.497382879,1.585464239,1.468022466,1.409301519,.9688947797,1.379941106,1.702906013,2.113952398,2.143312693,2.29011488,2.143312693,2.172673225,1.996510506,1.908429146,1.673545599
Belize,BLZ,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/bz/flat/64.png,383071,.3830710053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.8701606989,.8701606989,.8701606989,0,.8701606989,.8701606989,.8701606989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,Europe,Eastern Europe,,.,.,.,Europe,https://www.countryflags.io/by/flat/64.png,9483499,9.483498573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0351487733,.0702975467,.1405950934,.1054463163,.1054463163,.1405950934,.3163389564,.2811901867,.175743863,.1054463163,.2108926326,.351487726,.351487726,.351487726,.351487726,.351487726,.3866364956,.3163389564,.3163389564,.2460414022,.3163389564,.351487726,.3866364956,.3163389564,.2811901867,.3163389564,.4217852652,.4217852652,.4217852652,.4217852652,.4920828044,.4920828044,.4569340348,.351487726,.351487726,.351487726,.4569340348,.4569340348,.4920828044,.4920828044,.5272315741,.4920828044,.5623803735,.5272315741,.5623803735,.4920828044,.4920828044,.4920828044,.5272315741,.5272315741,.4920828044,.4920828044,.5272315741,.5272315741,.4920828044,.4920828044,.4920828044,.5272315741,.5272315741,.5623803735,.5272315741,.5623803735,.5623803735,.4920828044,.4569340348,.4569340348,.5623803735,.5272315741,.5623803735,.5975291133,.6678266525,.6678266525,.5975291133,.5623803735,.5272315741,.5272315741,.4920828044,.5272315741,.5623803735,.6678266525,.685401082
Bosnia and Herzegovina,BIH,Europe,Southern Europe,,.,.,.,Europe,https://www.countryflags.io/ba/flat/64.png,3323929,3.323929071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1002829224,.1002829224,.1002829224,.2005658448,.2005658448,.2005658448,.1002829224,.2005658448,.3008487821,.6016975641,.8022633791,.7019804716,.6016975641,.4011316895,.8022633791,.7019804716,1.203395128,1.203395128,1.103112221,.6016975641,.3008487821,.3008487821,.4011316895,.3008487821,.3008487821,.2005658448,.4011316895,.6016975641,.6016975641,.5014146566,.3008487821,.4011316895,.5014146566,.5014146566,.4011316895,.4011316895,.5014146566,.5014146566,.6016975641,.6016975641,.9025463462,.7019804716,.7019804716,.8022633791,.8022633791,.7019804716,.9025463462,1.203395128,1.9053756,1.604526758,1.704809785,1.504243851,1.504243851,1.303678036,.9025463462,1.103112221,.9025463462,1.103112221,.5014146566,.5014146566,.3008487821,.7019804716,.7019804716,.5014146566,.4011316895,.5014146566,.8022633791,.7019804716,.7019804716,.4011316895,.2005658448,0,.1002829224,.4011316895,.4011316895,.5014146566,.2005658448,.2005658448,0,.1002829224,.1002829224,.2005658448,.1002829224,.3008487821,.2005658448,.2005658448,.2005658448,.5014146566,.5014146566,.3008487821,0
Bahamas,BHS,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/bs/flat/64.png,385640,.3856399953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.864364028,.864364028,.864364028,2.593091965,2.593091965,3.457456112,1.728728056,2.593091965,2.593091965,1.728728056,.864364028,0,0,0,0,0,.864364028,.864364028,.864364028,0,0,0,1.728728056,1.728728056,1.728728056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,BHR,Asia,Western Asia,,.,.,.,Asia,https://www.countryflags.io/bh/flat/64.png,1569439,1.569439054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2123901099,.2123901099,.2123901099,0,0,0,.2123901099,.2123901099,.4247802198,.4247802198,.4247802198,.2123901099,0,0,0,0,0,0,0,0,0,0,.2123901099,.2123901099,.2123901099,.2123901099,.2123901099,.2123901099,0,.2123901099,.2123901099,.2123901099,0,0,0,0,0,0,.2123901099,.2123901099,.2123901099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2123901099,.4247802198,.4247802198,.6371703148,.4247802198,.4247802198,0,0,0,0,0,.2123901099,.4247802198,.4247802198,.2123901099,.2123901099,.2123901099,.2123901099,.4247802198,.8495604396,.8495604396,.4247802198,.2123901099,.4247802198,.6371703148,.8495604396,1.061950564,1.061950564,1.061950564,1.061950564,1.486730814,1.486730814,1.27434063,1.699120879,2.123901129,2.123901129,1.486730814,1.911510944,2.548681259
Bulgaria,BGR,Europe,Eastern Europe,,.,.,.,Europe,https://www.countryflags.io/bg/flat/64.png,7025037,7.025036812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0474493355,.0474493355,.0474493355,.0474493355,.0474493355,.0474493355,0,0,.0474493355,.0474493355,.0474493355,0,0,0,0,0,0,.1897973418,.2372466773,.2372466773,.0474493355,.0948986709,.0948986709,.2846960127,.3321453631,.4744933546,.3795946836,.2846960127,.1897973418,.0948986709,.0948986709,.1897973418,.2372466773,.3321453631,.3321453631,.3321453631,.2846960127,.2846960127,.2372466773,.1897973418,.0948986709,.1897973418,.3321453631,.427044034,.427044034,.2846960127,.1897973418,.1897973418,.1423480064,.3795946836,.3795946836,.4744933546,.3795946836,.3321453631,.4744933546,.3795946836,.5219426751,.2846960127,.2846960127,.2846960127,.3321453631,.3321453631,.2372466773,.2372466773,.2846960127,.3321453631,.427044034,.427044034,.3795946836,.3321453631,.3795946836,.4744933546,.6168413758,.4744933546,.4744933546,.2372466773,.1897973418,.1423480064,.1897973418,.2846960127,.2846960127,.2846960127,.1897973418,.2372466773,.2846960127,.3321453631,.7117400169,.6642907262,.6168413758,.2372466773,.3321453631,.3321453631,.1897973418,.2372466773,.2372466773,.2846960127,.1897973418,.427044034,.4744933546,.6642907262,.640566051
Bangladesh,BGD,Asia,Southern Asia,,.,.,.,Asia,https://www.countryflags.io/bd/flat/64.png,161356039,161.3560333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.002065825,.002065825,.002065825,.002065825,.002065825,.0041316501,.0041316501,.0061974749,.0041316501,.002065825,0,0,0,0,.002065825,.002065825,.002065825,.0041316501,.0061974749,.0123949498,.0185924247,.0227240752,.0185924247,.0206582509,.0206582509,.0268557258,.0247898996,.0330532007,.0330532007,.0433823243,.0599089265,.0702380538,.0640405789,.0537114516,.0537114516,.0599089265,.0537114516,.0433823243,.0413165018,.0371848494,.0433823243,.0309873763,.0371848494,.0330532007,.0309873763,.0247898996,.0185924247,.0247898996,.0165266003,.0185924247,.0351190269,.0475139767,.0578431003,.0599089265,.0681722239,.0743696988,.0846988261,.090896301,.0991595984,.0929621235,.0929621235,.1053570732,.1156862006,.119817853,.1218836755,.1280811578,.1363444477,.1487393975,.1425419301,.1446077526,.1322128028,.119817853,.1239495054,.1363444477,.1879900843,.1859242469,.204516679,.1983191967,.2251749337,.2107141465,.2065825015,.2210432738,.2458331734,.2664914429,.2561623156,.2458331734,.2478990108,.2623597682,.2520306408,.235504061,.2540964782,.2768205404,.2768205404,.250997752
Burkina Faso,BFA,Africa,Sub-Saharan Africa,Western Africa,.,.,.,Africa,https://www.countryflags.io/bf/flat/64.png,19751535,19.75153542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.016876325,.016876325,.016876325,.016876325,.050628975,.050628975,.03375265,0,.050628975,.0843816251,.1181342751,.0843816251,.050628975,.050628975,.0675053,.0675053,.03375265,0,.016876325,.03375265,.050628975,.1012579501,.1012579501,.0843816251,.0675053,.050628975,.050628975,.050628975,.0843816251,.0843816251,.0843816251,.0675053,.0675053,.050628975,.03375265,.050628975,.050628975,.050628975,.03375265,.016876325,.016876325,.016876325,.016876325,.016876325,.03375265,.016876325,.03375265,.03375265,.0675053,.050628975,.03375265,0,0,.016876325,.03375265,.050628975,.03375265,.016876325,0,0,0,0,0,.016876325,.016876325,.016876325,0,0,0,0,.016876325,.016876325,.016876325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,BEN,Africa,Sub-Saharan Africa,Western Africa,.,.,.,Africa,https://www.countryflags.io/bj/flat/64.png,11485048,11.48504829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0290232413,.0290232413,.0290232413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0290232413,.0290232413,.0290232413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0290232413,.0290232413,.0290232413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0290232413,.0290232413,.0290232413,0,.0290232413,.0580464825,.0580464825,.116092965,.0870697275,.0870697275,.0580464825,.0870697275
Belgium,BEL,Europe,Western Europe,,.,.,.,Europe,https://www.countryflags.io/be/flat/64.png,11433256,11.43325615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0874641463,.0874641463,.0874641463,.0291547161,.0291547161,.0583094321,.1749282926,.2915471494,.466475457,.7871773243,1.54519999,1.574354649,1.486890554,1.603509426,3.002935648,3.848422527,4.868837357,5.1020751,6.151645184,6.530656338,10.26245975,11.57442188,14.51904869,12.76976585,13.26539612,12.7114563,14.25665569,21.92434692,23.11968994,25.97685242,28.68824005,32.24511719,31.39962959,25.77276802,23.64447403,24.48996162,27.81359863,29.32964325,29.53372765,24.08179474,19.38788605,15.88932037,16.8805809,19.30042267,19.85436058,19.09633827,17.60944748,15.39369011,12.07005215,11.86596966,11.28287506,10.84555435,7.696845055,7.288679123,6.443192005,7.317833424,14.43158436,14.31496525,14.72313118,7.05544138,7.026286602,5.422777176,5.247848988,5.451931953,5.714324474,5.772633553,4.723063946,4.344052792,3.52772069,3.002935648,2.857162237,3.090399981,3.032090425,2.536460161,2.740543365,2.915471554,2.82800746,2.448996067,2.215758324,2.798852682,2.594769716,2.303222656,1.632664084,1.516045213,1.603509426,1.807592392,1.778437614,1.69097352,1.370271683,1.166188598,1.137033939,.9912603498,.8746414781,.7871773243,.6122490168,.5539395809,.437320739,.3790113032,.5830942988,.6414037347,.8746414781
Burundi,BDI,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/bi/flat/64.png,11175378,11.17537785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0298274774,.0298274774,.0298274774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE,Asia,Western Asia,,.,.,.,Asia,https://www.countryflags.io/az/flat/64.png,9939800,9.939800262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.033535216,.033535216,.033535216,0,0,0,0,0,0,0,0,0,.033535216,.067070432,.067070432,.067070432,.033535216,.033535216,.033535216,.033535216,.033535216,0,0,.067070432,.067070432,.1006056443,.033535216,.067070432,.067070432,.1006056443,.067070432,.067070432,.067070432,.067070432,.1006056443,.067070432,.1676760763,.134140864,.134140864,.067070432,.033535216,.033535216,.033535216,.033535216,.033535216,.033535216,.033535216,.067070432,.067070432,.1006056443,.067070432,.033535216,.033535216,.033535216,.1006056443,.067070432,.067070432,.1006056443,.134140864,.134140864,.067070432,.1006056443,.1006056443,.1006056443,.033535216,.134140864,.134140864,.1676760763,.134140864,.134140864,.1676760763,.2012112886,.1676760763,.1676760763,.1006056443,.1676760763,.1676760763,.2012112886,.2347465008,.2347465008,.3353521526,.3353521526,.4359577894,.3353521526,.3688873649,.268281728,.3353521526,.3688873649,.4694930017,.4694930017,.503028214,.503028214,.4359577894,.3688873649,.3018169403,.3688873649,.4694930017,.5700986385,.6539366841
Austria,AUT,Europe,Western Europe,,.,.,.,Europe,https://www.countryflags.io/at/flat/64.png,8840521,8.840520859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0377051681,.0377051681,.0377051681,0,.0754103363,.0754103363,.1131155044,.1131155044,.1131155044,.1508206725,.3770516813,.565577507,.7541033626,.5278723836,1.055744767,1.131155014,1.432796478,1.395091295,1.885258436,2.262310028,2.262310028,1.885258436,1.508206725,1.508206725,1.734437823,1.960668802,2.149194717,2.601656675,2.827887774,2.865592957,2.41313076,2.073784351,1.847553253,1.772142887,1.621322274,1.583617091,1.772142887,1.885258436,1.583617091,1.470501542,1.80984807,2.1868999,1.960668802,1.470501542,.9803344011,.7541033626,.7163982391,1.244270563,1.432796478,1.319680929,.7541033626,.60328269,.5278723836,.4147568643,.3770516813,.3770516813,.3393465281,.301641345,.2639361918,.3393465281,.2262310088,.301641345,.2262310088,.2262310088,.1885258406,.1885258406,.1131155044,.0377051681,.1131155044,.1508206725,.1508206725,.1131155044,.2262310088,.2639361918,.2262310088,.1508206725,.1885258406,1.018039584,.9426292181,.8672189116,0,0,.0377051681,.0754103363,.0754103363,.1131155044,.0754103363,.0754103363,0,0,.0377051681,.0754103363,.1131155044,.1508206725,.1131155044,.1131155044,.1508206725,.3770516813,.3770516813,.3959042728
Australia,AUS,Oceania,Australia and New Zealand,,.,.,.,Oceania,https://www.countryflags.io/au/flat/64.png,24982688,24.9826889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0133425724,.0133425724,.0133425724,.0133425724,.0133425724,.0133425724,0,.0133425724,.0133425724,.0133425724,0,0,0,0,0,0,.0266851448,.0400277153,.0400277153,.0266851448,.0133425724,.0133425724,0,.0133425724,.0133425724,.0800554305,.0667128637,.0800554305,.0400277153,.0533702895,.0533702895,.0533702895,.0933980048,.1334257275,.1334257275,.1467683017,.1601108611,.2001385838,.2001385838,.1467683017,.1200831532,.0933980048,.1200831532,.0933980048,.0667128637,.0400277153,.0266851448,.0533702895,.0533702895,.0533702895,.0133425724,0,0,.106740579,.1601108611,.1734534353,.106740579,.0533702895,.1200831532,.106740579,.1334257275,.0533702895,.0400277153,.0266851448,.0400277153,.0400277153,.0266851448,.0133425724,0,0,0,0,.0133425724,.0133425724,.0133425724,0,0,.0133425724,.0133425724,.0266851448,.0133425724,.0266851448,.0133425724,.0266851448,.0133425724,.0133425724,.0133425724,.0133425724,.0133425724,0,0,0,-.0133425724,-.0133425724,-.0133425724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,ARM,Asia,Western Asia,,.,.,.,Asia,https://www.countryflags.io/am/flat/64.png,2951776,2.951776028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1129263639,.1129263639,.1129263639,.2258527279,.2258527279,.2258527279,.1129263639,.4517054558,.4517054558,.3387790918,0,.1129263639,.1129263639,.2258527279,.2258527279,.4517054558,.4517054558,.3387790918,.2258527279,.3387790918,.4517054558,.4517054558,.3387790918,.3387790918,.2258527279,.3387790918,.4517054558,.4517054558,.2258527279,.3387790918,.4517054558,.4517054558,.2258527279,.2258527279,.2258527279,.3387790918,.3387790918,.3387790918,.3387790918,.6775581837,.7904845476,.5646318197,.3387790918,.3387790918,.4517054558,.3387790918,.3387790918,.3387790918,.3387790918,.3387790918,.5646318197,.7904845476,1.242190003,1.016337276,1.016337276,.7904845476,1.016337276,1.129263639,1.129263639,1.242190003,1.468042731,1.580969095,1.919748187,2.936085463,3.274864435,3.274864435,2.032674551,2.145600796,3.500717163,4.404128075,4.178275585,2.823158979,2.258527279,2.710232735,3.16193819,3.049011707,3.049011707,3.839496374,4.629981041,4.178275585,2.710232735,3.049011707,3.274864435,3.726569891,2.710232735,2.710232735
Argentina,ARG,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ar/flat/64.png,44494502,44.49450302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.007491562,.007491562,.007491562,0,0,.007491562,.007491562,.007491562,0,0,0,.007491562,.007491562,.0149831241,.007491562,.007491562,.0149831241,.0299662482,.0374578089,.0524409339,.0749156177,.0749156177,.0749156177,.0674240589,.0674240589,.097390309,.0898987427,.112373434,.0599324964,.0674240589,.097390309,.1423396766,.1797974855,.194780618,.1498312354,.1348481178,.112373434,.1423396766,.1573228091,.1348481178,.1573228091,.1348481178,.127356559,.097390309,.1348481178,.1498312354,.2172552943,.2172552943,.2472215444,.2022721767,.1573228091,.1648143679,.1648143679,.1573228091,.1348481178,.1723059267,.2097637355,.2622046769,.2022721767,.2022721767,.1648143679,.2172552943,.2022721767,.1723059267,.1573228091,.1423396766,.1797974855,.292170912,.2771877944,.2547131181,.1498312354,.194780618,.224746868,.224746868,.2547131181,.2996624708,.3146456182,.2696962357,.2547131181,.292170912,.3595949709,.3071540594,.2696962357,.2097637355,.2322384268,.2696962357,.3071540594,.3296287358,.3895612359,.4719684124,.48695153,.4195274711,.4569852948,.5169177651,.5319008827,.5393924713,.5094262362,.5993249416,.5094262362,.5169177651,.4719684124,.5993249416,.7042068243,.7866140008
United Arab Emirates,ARE,Asia,Western Asia,,.,.,.,Asia,https://www.countryflags.io/ae/flat/64.png,9630959,9.630958557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0692212135,.0692212135,.0692212135,0,0,0,0,0,0,.0346106067,.1038318276,.1384424269,.1730530411,.1038318276,.1038318276,.0692212135,.0692212135,.0692212135,.0692212135,.0692212135,.1038318276,.1384424269,.2768848538,.2768848538,.3114954829,.2768848538,.3807166815,.3461060822,.3114954829,.1384424269,.2076636553,.2076636553,.3114954829,.3807166815,.4499379098,.6229909658,.6576015353,.6922121644,.6229909658,.6229909658,.761433363,.796043992,.761433363,.7268227935,.7268227935,.8998758197,.9344864488,1.072928905,.9690970182,.9690970182,.9690970182,1.142150044,.9344864488,.6229909658,.2768848538,.2422742546,.2422742546,.2768848538,.4153273106,.4845485091,.4499379098,.4499379098,.4499379098,.4845485091,.3807166815,.2768848538,.2422742546,.3114954829,.3461060822,.3461060822,.2422742546,.2422742546,.2076636553,.2076636553,.2422742546,.2076636553,.2422742546,.1730530411,.1730530411,.1038318276,.2422742546,.2768848538,.2768848538,.1730530411,.1384424269,.1384424269,.1038318276,.1384424269,.1730530411,.2076636553,.2422742546,.2595795691
