Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,326687501,326.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0004372899,.0004372899,.0026237394,.0030610294,.0048101889,.0052474788,.0061220587,.0069966381,.0087457979,.0069966381,.0091830874,.0096203778,.0135559868,.0166170169,.0179288853,.0214272048,.0327967405,.0450408608,.0677799359,.0970783532,.1355598718,.1740413755,.2322009355,.3004181683,.3891880214,.5006969571,.6476263404,.8474678397,1.083604336,1.294378042,1.572931767,2.004536867,2.410779238,2.92372036,3.25649786,3.540736198,3.895815611,4.266637325,4.741096973,5.123725891,5.337560654,5.677772045,6.010986805,6.15616703,6.226133347,6.267675877,6.457022667,6.473639488,6.701467514,6.850146294,6.613134861,6.598704338,6.620131969,6.551914692,6.693596363,6.476700783,6.154855251,6.182841778,6.020170212,5.918718815,5.965946198,5.90647459,5.797589302,5.756484032,5.670338154,5.620487213,5.658093929,5.639290333,5.472245693,5.410150528,5.376479149,5.281587601,5.152149677,4.848233223,4.540380955,4.47697401,4.448112965,4.336166382,4.280630589,4.174369335,4.147694588,4.064172268,3.825412035,3.653994322,3.609390736,3.546421051,3.434037447,3.055344582,3.03173089,3.011615515,2.966574669,2.897920132,2.89048624,3.003744364,3.155921221,2.928967714,2.853316545,2.767607689,2.643417358,2.582196951,2.465440512,2.424772501,2.392850399,2.336877108,2.272158384,2.302768707,2.235863209,2.186012268,2.141845942,2.069255829,1.991855502,1.926262021,1.865041375,1.846237898,1.85279727,1.85192275,1.854546428,2.605810404,2.576512098,2.523600101,2.51704073,2.492989779,2.44226408,2.405531645,1.651643991,1.666511774,1.560687661,1.574243665,1.562874079
Italy,ITA,Europe,Southern Europe,,.,.,.,Europe,https://www.countryflags.io/it/flat/64.png,60421760,60.42176056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0023643328,.0047286656,.0070929979,.0165503286,.023643326,.0283719916,.0401936546,.047286652,.0638369843,.0732943118,.1063949689,.1631389558,.2246116102,.3097275794,.4161225557,.4823238552,.7849584222,.9717407227,1.305111647,1.702319503,2.052240849,2.527471542,2.856113911,3.411731958,4.007544041,4.426030636,5.085679531,5.64839077,6.539744377,8.000902176,8.670007706,9.26581955,10.2068243,10.69860554,11.37244034,12.0628252,12.2898016,12.53805637,13.03693008,13.25917721,13.36320782,13.47669601,13.11495304,12.62317181,12.07701111,11.66088867,11.10999966,10.67259789,10.31794739,9.854538918,9.707949638,9.485702515,9.320199013,9.315470695,9.400587082,9.19961834,9.211440086,8.887526512,8.892254829,8.627449989,8.466675758,8.133304596,7.989079952,7.622608662,7.464198112,7.055168629,6.769084454,6.409706116,6.140172005,5.716956615,5.359941959,5.499437809,5.296105385,4.969827175,4.624634743,4.733394146,4.707386494,4.645913601,3.983900547,3.96262145,3.92479229,3.773474932,3.362081051,3.333709002,3.331344843,3.234407187,3.187120438,2.997973919,2.974330425,2.89394331,2.643323898,2.378518581,2.298131466,2.073519707,2.056969404,1.858365536,1.754334807,1.551002264,1.449335933,1.430421233,1.48952961,1.413870931,1.359491348,1.250731945,1.293290019,1.288561344,1.196352363,1.144337058,1.156158686,1.212902665,1.212902665,1.130151033,1.061585426,1.075771332,1.054492354,.9622833729,.8558884263,.7896870971,.8204234242,.7991444468,.7305787802,.6832921505,.6761991382,.6383697987,.4634092152,.387750566,.3475568891,.2506192625,.2458906025,.2056969404,.2175186127,.3404639065,.3310065866,.2955415845,.3262779117,.2908129096,.2955415845
United Kingdom,GBR,Europe,Northern Europe,,.,.,.,Europe,https://www.countryflags.io/gb/flat/64.png,66460344,66.46034241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0021495095,.004299019,.004299019,.0064485287,.0150465667,.0150465667,.0193455871,.0193455871,.0558872484,.0881298929,.1332695931,.1590637118,.232147038,.320276916,.3955097497,.4771911204,.5201812983,.6319558024,.9178406,1.244566083,1.545497417,2.07857585,2.590158939,2.974921227,3.619774103,4.12060976,5.160972595,6.169092655,7.093381405,8.095052719,9.019342422,9.436347008,10.84642506,11.62884712,12.59827614,13.53976059,13.70957184,13.79985142,14.17816544,14.19106197,13.77835655,13.61929226,13.1528492,13.74611378,13.34200573,12.94434643,13.21948433,13.20873642,12.55958462,12.71005058,12.12538338,11.95772171,11.48268032,10.91735935,10.82707977,10.71315575,10.14138603,9.664195061,9.43849659,9.331021309,8.866726875,8.552898407,8.262714386,8.019820213,7.428705215,7.327678204,7.160016537,7.018148899,6.68497467,6.446379185,5.926198006,6.188437939,5.977786064,5.870310783,5.694050789,5.412465096,5.219009399,5.148075581,4.748266697,4.636492252,4.552661419,3.669212818,3.774538755,3.858369589,3.800333023,3.656315804,3.645568371,4.58060503,4.989011765,4.875087738,4.443036079,4.513969898,4.490325451,4.412943363,3.336038828,3.254357576,3.009313345,2.955575705,2.622401714,2.572962999,2.484833002,2.448291302,2.334367514,2.203247309,2.16885519,2.106519461,1.992595434,2.007642031,1.958203197,2.059230089,1.994744897,2.024837971,2.048482656,1.98829639,1.973249793,1.994744897,1.726056218,1.773345351,1.644374847,1.541198373,1.470264554,1.440171361,1.420825839
France,FRA,Europe,Western Europe,,.,.,.,Europe,https://www.countryflags.io/fr/flat/64.png,66977107,66.97710419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.002132925,.002132925,.002132925,.002132925,.002132925,.002132925,.002132925,0,0,0,0,.002132925,.002132925,.002132925,.002132925,.002132925,.0042658499,.0063987751,.0042658499,.0085316999,.0149304755,.0191963259,.0362597257,.0341267996,.0618548244,.0938487053,.089582853,.1493047476,.1706340015,.1535706073,.2751473188,.2452863753,.2132925093,.4159203768,.7913151979,1.004607677,1.243495345,1.518642664,2.030544758,2.523250341,3.099140167,3.295369148,3.736884594,4.120810986,4.6156497,5.168077469,6.552345753,7.872626305,9.623757362,11.18932438,11.67136574,12.55653,14.51455498,13.79149342,14.552948,14.26926899,13.37770557,13.46942139,12.91699409,11.48366833,13.3926363,12.13847637,11.6543026,11.66923332,11.30663586,11.24691391,10.77766991,8.875101089,8.369597435,7.578282833,6.995994091,6.678188324,6.445699692,6.108697414,5.859145164,5.374970913,5.010241032,4.577257156,4.349034309,4.065355301,3.986436844,3.660099268,3.42121172,3.474534988,3.28897047,3.150330305,3.062880278,3.099140167,2.687485456,3.054348707,2.757872105,2.585105181,3.670763969,3.389217854,2.186248064,2.243837118,1.676479101,1.612491369,1.708472967,.5438959002,.4564459622,1.074994206,.985411346,.9470187426,.9000943899,.9299553037,.9256894588,.7934480906,.8659675717,.8979614377,.8510370851,.8382395506,.7827835083,.7443908453,.797713995,.7486566901,.6249470115,.5908202529,.5524275899,.5374971032,.5246995687,.4735093713,.5268324614,.5374971032,.5396300554,.5097690821,.4884398282,.4863069057,.4692434967,.3583314121,.3178058267,.2986094952,.3220716715,.2900778055,.2772802413,.3007424176,.2367546856,.2538180947,.2431534529,.2282229811,.2303559035,.2324888259,.2132925093
Spain,ESP,Europe,Southern Europe,,.,.,.,Europe,https://www.countryflags.io/es/flat/64.png,46796540,46.79653931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0030527287,.0061054574,.0091581866,.015263644,.0305272881,.0518963896,.0854764059,.1037927791,.1587418914,.1587418914,.3907492757,.5647548437,.8303422332,.9585568309,1.520258904,1.73700273,2.365864754,2.777983189,3.602220058,4.527196884,6.010822773,6.94495821,9.231451988,10.79139614,12.50092411,14.06392193,15.35827827,16.5,17.26623344,17.52266312,18.26447678,18.49953651,18.20952797,17.82183075,17.17160034,17.03727913,16.5,15.56586456,14.90647507,14.22266388,13.94486523,13.47779751,12.24449539,11.95448589,11.80795479,11.96974945,10.49222851,9.90305233,9.451248169,9.848103523,9.185661316,8.675855637,7.698982239,8.727751732,8.355319023,8.147732735,7.753931046,7.808880329,7.283811092,6.163459301,6.709897995,6.331359386,5.821553707,5.467437267,4.829416752,4.661516666,5.360591888,4.206660271,4.142552853,4.017391205,3.989916563,3.80675292,3.818963766,3.541165352,3.312210798,2.875670433,2.945883274,2.619241238,2.393339396,1.889639139,3.568639994,3.40379262,3.629694462,3.183996201,3.837280035,3.501479864,3.348843575,1.254671574,1.114246011,.894449532,.894449532,.0305272881,.0335800163,.042738203,.0396854728,.0305272881,.0274745598,.0274745598,.0274745598,.0244218297,.0091581866,.0061054574,.0030527287,0,0,0,0,0,3.599167347,3.620536327,3.623589039,3.62664175,3.629694462,3.635799885,3.644958258,.0702127591,.0580018461,.0610545762,.0671600327,.0915818661,.1129509658,.1160036922,.1434782594,.1343200654,.1282146126,.1282146126
Germany,DEU,Europe,Western Europe,,.,.,.,Europe,https://www.countryflags.io/de/flat/64.png,82905782,82.90578461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0034462528,.0034462528,.0051693791,.0051693791,.0120618846,.0155081376,.0189543907,.0258468948,.0379087813,.0430781581,.0706481785,.1033875793,.1292344779,.1430194825,.1826514006,.229175806,.3067165017,.3842571676,.4738597572,.6013711095,.7564525008,.8994719386,1.064892054,1.230312228,1.4474262,1.607676864,1.742080808,1.811005831,2.007442236,2.138399839,2.462347507,2.584689617,2.570904493,2.226279259,2.477855682,2.384806871,2.20215559,2.507148743,2.489917517,2.731155396,2.968946695,2.694969654,2.874174833,2.996516705,2.541611433,2.624321461,2.426162004,2.44339323,2.395145655,2.178031683,2.207324982,2.04707408,1.805836439,1.681771278,1.611123204,1.533582449,1.493950605,1.170002818,1.392286062,1.325084209,1.333699822,1.269944072,1.211357832,1.151048422,1.283729196,1.009752035,.8477781415,.6668499112,.6702961326,.6771886349,.5893092155,.5910323262,.4876447618,.5496773124,.5703548193,.5565698147,.5531235337,.5272766948,.5014297962,.4893678725,.4600747526,.4755828679,.4635210037,.442843467,.4238890707,.3291171491,.2998239994,.2843158543,.2653614581,.2464070767,.2498533279,.2412376851,.2981008589,.2584689558,.2360683084,.2153908014,.2067751586,.1998826563,.192990154,.1447426081,.1705895066,.1774820089,.1792051345,.1757588834,.1619738787,.1585276276,.1619738787,.132680729,.1120032147,.1344038546,.1257882267,.1257882267,.132680729,.1309576035,.1154494658,.1137263402,.0775406882,.0896025673,.0947719514,.0792638138
