date,country,iso3,confirmed,deaths,death_pos,pos_test,test_wom
4/17/20,Israel,ISR,12982,151,.01163149,.069329776,187250
4/17/20,Italy,ITA,172434,22745,.13190554,.13860051,1244108
4/17/20,Japan,JPN,9958,217,.021791525,.098884843,100703
4/17/20,Kazakhstan,KAZ,1546,17,.010996119,.018032309,85735
4/17/20,Kenya,KEN,246,11,.044715445,.022811573,10784
4/17/20,Kosovo,XKX,449,11,.024498885,,
4/17/20,Lebanon,LBN,668,21,.031437125,.034818869,19185
4/17/20,Lithuania,LTU,1149,33,.028720627,.02163801,53101
4/17/20,Luxembourg,LUX,3480,72,.020689655,.1074273,32394
4/17/20,Malaysia,MYS,5251,86,.016377833,.054304771,96695
4/17/20,Mali,MLI,171,13,.076023392,,
4/17/20,Mexico,MEX,6875,546,.079418182,.17148487,40091
4/17/20,Moldova,MDA,2264,56,.024734983,.2298944,9848
4/17/20,Morocco,MAR,2564,135,.052652106,.1979617,12952
4/17/20,Netherlands,NLD,30449,3459,.11359979,.19655803,154911
4/17/20,New Zealand,NZL,1409,11,.0078069554,.018937917,74401
4/17/20,Niger,NER,627,18,.028708134,.13374573,4688
4/17/20,Nigeria,NGA,493,17,.034482758,.068922132,7153
4/17/20,North Macedonia,MKD,1117,49,.043867502,.10286398,10859
4/17/20,Norway,NOR,6937,161,.023208881,.050918993,136236
4/17/20,Pakistan,PAK,7638,143,.018722178,.090172835,84704
4/17/20,Panama,PAN,4016,109,.027141435,.22498599,17850
4/17/20,Peru,PER,13489,300,.022240344,.1057853,127513
4/17/20,Philippines,PHL,5878,387,.065838724,.12202363,48171
4/17/20,Poland,POL,8379,332,.039622866,.046639651,179654
4/17/20,Portugal,PRT,19022,657,.034538954,.086053319,221049
4/17/20,Romania,ROU,8067,411,.050948307,.094015501,85805
4/17/20,Russia,RUS,32008,273,.0085291173,.01863076,1718019
4/17/20,San Marino,SMR,435,39,.089655176,.51418442,846
4/17/20,Saudi Arabia,SAU,7142,87,.012181462,.047613334,150000
4/17/20,Serbia,SRB,5690,110,.019332161,.17472211,32566
4/17/20,Singapore,SGP,5050,11,.0021782178,.053272288,94796
4/17/20,Slovenia,SVN,1304,66,.050613496,.033155352,39330
4/17/20,South Africa,ZAF,2783,50,.017966224,.027601734,100827
4/17/20,Spain,ESP,190839,20002,.10481086,.20515248,930230
4/17/20,Sweden,SWE,13743,1925,.1400713,.18422252,74600
4/17/20,Switzerland,CHE,27078,1327,.049006574,.13119186,206400
4/17/20,Thailand,THA,2700,47,.017407408,.026866207,100498
4/17/20,Tunisia,TUN,864,37,.042824075,.059016392,14640
4/17/20,Turkey,TUR,78546,1769,.022521835,.14065933,558413
4/17/20,Ukraine,UKR,4662,125,.026812527,.0989893,47096
4/17/20,United Arab Emirates,ARE,6302,37,.005871152,.0082164276,767000
4/17/20,United Kingdom,GBR,116721,16942,.14514954,.26588473,438991
4/17/20,United States,USA,708305,38570,.054453943,.19827941,3572257
4/18/20,Afghanistan,AFG,933,30,.03215434,,
4/18/20,Albania,ALB,548,26,.047445256,.10318208,5311
4/18/20,Algeria,DZA,2534,367,.1448303,.75439119,3359
4/18/20,Andorra,AND,704,35,.04971591,.42080095,1673
4/18/20,Argentina,ARG,2758,129,.046773024,.089134507,30942
4/18/20,Armenia,ARM,1248,20,.016025642,.10579857,11796
4/18/20,Australia,AUS,6568,67,.010200975,.016157044,406510
4/18/20,Austria,AUT,14671,443,.030195624,.083390176,175932
4/18/20,Azerbaijan,AZE,1373,18,.013109978,.015853222,86607
4/18/20,Bangladesh,BGD,2144,84,.039179105,.10062421,21307
4/18/20,Belarus,BLR,5297,45,.0084953746,.061016206,86813
4/18/20,Belgium,BEL,37183,5453,.14665304,.25468332,145997
4/18/20,Bolivia,BOL,493,31,.062880322,.13813393,3569
4/18/20,Bosnia and Herzegovina,BIH,1268,47,.037066247,.075171925,16868
4/18/20,Brazil,BRA,36658,2354,.064215176,.58201158,62985
4/18/20,Bulgaria,BGR,878,41,.046697039,.033236172,26417
4/18/20,Burkina Faso,BFA,565,36,.063716814,,
4/18/20,Cameroon,CMR,1017,22,.021632252,,
4/18/20,Canada,CAN,34356,1401,.040778901,.066553533,516216
4/18/20,Channel Islands,CHI,484,21,.04338843,.14578313,3320
4/18/20,Chile,CHL,10598,126,.011889036,.097326681,108891
4/18/20,China,CHN,83787,4636,.055330779,,
4/18/20,Colombia,COL,3621,166,.045843691,.061370801,59002
4/18/20,Croatia,HRV,1832,39,.021288211,.084630668,21647
4/18/20,Cuba,CUB,986,32,.03245436,.038958475,25309
4/18/20,Cyprus,CYP,761,12,.015768725,.023572048,32284
4/18/20,Czech Republic,CZE,6606,181,.027399333,.040644053,162533
4/18/20,Democratic Republic of Congo,COD,307,25,.081433222,,
4/18/20,Denmark,DNK,7242,346,.047776856,.079202071,91437
4/18/20,Dominican Republic,DOM,4335,217,.050057672,.30160719,14373
4/18/20,Ecuador,ECU,9022,456,.050543118,.29176638,30922
4/18/20,Egypt,EGY,3032,224,.073878631,.055127274,55000
4/18/20,Estonia,EST,1512,38,.025132274,.038176998,39605
4/18/20,Finland,FIN,3681,90,.024449877,.06620504,55600
4/18/20,France,FRA,146906,19303,.13139695,.31683856,463662
4/18/20,Germany,DEU,143342,4459,.031107422,.082935415,1728357
4/18/20,Greece,GRC,2235,110,.049217001,.041940328,53290
4/18/20,Honduras,HND,457,46,.10065646,.19073455,2396
4/18/20,Hungary,HUN,1834,172,.093784079,.041775815,43901
4/18/20,India,IND,15722,521,.033138279,.046914119,335123
4/18/20,Indonesia,IDN,6248,535,.085627399,.15849018,39422
4/18/20,Iran,IRN,80868,5031,.062212493,.24495286,330137
4/18/20,Iraq,IRQ,1513,82,.054196961,.028041886,53955
4/18/20,Ireland,IRL,14758,571,.03869088,.16280916,90646
4/18/20,Israel,ISR,13265,164,.012363362,.070841119,187250
4/18/20,Italy,ITA,175925,23227,.13202785,.13472243,1305833
4/18/20,Japan,JPN,10548,236,.022373909,.094749607,111325
4/18/20,Kazakhstan,KAZ,1615,17,.010526316,.016009437,100878
4/18/20,Kenya,KEN,262,12,.045801528,.024295252,10784
4/18/20,Kosovo,XKX,480,12,.025,,
4/18/20,Lebanon,LBN,672,21,.03125,.033226207,20225
4/18/20,Lithuania,LTU,1239,33,.026634382,.021065697,58816
4/18/20,Luxembourg,LUX,3537,72,.020356234,.10636954,33252
4/18/20,Malaysia,MYS,5305,88,.016588124,.052632101,100794
4/18/20,Mali,MLI,216,13,.060185187,,
4/18/20,Mexico,MEX,7497,650,.086701348,.15500879,48365
4/18/20,Moldova,MDA,2378,57,.023969723,.24147035,9848
4/18/20,Morocco,MAR,2685,137,.05102421,.19614288,13689
4/18/20,Netherlands,NLD,31589,3601,.11399538,.20391709,154911
4/18/20,New Zealand,NZL,1422,11,.0077355835,.017982244,79078
4/18/20,Niger,NER,639,19,.02973396,.13552491,4715
4/18/20,Nigeria,NGA,542,19,.035055351,.075772405,7153
4/18/20,North Macedonia,MKD,1170,49,.041880343,.1012461,11556
4/18/20,Norway,NOR,7036,164,.023308698,.050376609,139668
4/18/20,Pakistan,PAK,8348,168,.020124581,.09020184,92548
4/18/20,Panama,PAN,4210,116,.027553445,.22684412,18559
4/18/20,Peru,PER,14420,348,.024133148,.10611133,135895
4/18/20,Philippines,PHL,6087,397,.065220959,.10860334,56048
4/18/20,Poland,POL,8742,347,.039693434,.045304727,192960
4/18/20,Portugal,PRT,19685,687,.034899671,.083454162,235878
4/18/20,Romania,ROU,8418,421,.050011881,.092514642,90991
4/18/20,Russia,RUS,36793,313,.0085070534,.0200847,1831892
4/18/20,San Marino,SMR,455,39,.085714288,.28348911,1605
4/18/20,Saudi Arabia,SAU,8274,92,.011119168,.055160001,150000
4/18/20,Serbia,SRB,5994,117,.019519519,.1663706,36028
4/18/20,Singapore,SGP,5992,11,.001835781,.063209414,94796
4/18/20,Slovak Republic,SVK,1089,11,.01010101,.026591459,40953
4/18/20,Slovenia,SVN,1317,70,.053151101,.032454412,40580
4/18/20,South Africa,ZAF,3034,52,.01713909,.028087132,108021
4/18/20,Spain,ESP,191726,20043,.10453981,.20610602,930230
4/18/20,Sweden,SWE,14275,2013,.14101577,.19135389,74600
4/18/20,Switzerland,CHE,27404,1368,.049919721,.12663586,216400
4/18/20,Thailand,THA,2733,47,.01719722,.027194571,100498
4/18/20,Tunisia,TUN,864,37,.042824075,.059016392,14640
4/18/20,Turkey,TUR,82329,1890,.022956673,.13745944,598933
4/18/20,Ukraine,UKR,5106,133,.026047787,.097194195,52534
4/18/20,United Arab Emirates,ARE,6302,37,.005871152,.0082164276,767000
4/18/20,United Kingdom,GBR,121437,18047,.14861204,.26374292,460437
4/18/20,United States,USA,736156,40530,.055056266,.19777736,3722145
4/19/20,Afghanistan,AFG,996,33,.033132531,.15509187,6422
4/19/20,Albania,ALB,562,26,.046263345,.10140743,5542
4/19/20,Algeria,DZA,2629,375,.14263979,.40446153,6500
4/19/20,Andorra,AND,713,36,.050490882,.42618051,1673
4/19/20,Argentina,ARG,2839,132,.046495244,.086787723,32712
4/19/20,Armenia,ARM,1291,20,.015491867,.10181388,12680
4/19/20,Australia,AUS,6610,67,.010136157,.015700862,420996
4/19/20,Austria,AUT,14749,452,.030646145,.082284942,179243
4/19/20,Azerbaijan,AZE,1398,19,.013590844,.01460098,95747
4/19/20,Bangladesh,BGD,2456,91,.037052117,.10258552,23941
4/19/20,Belarus,BLR,5807,47,.0080936803,.059115756,98231
4/19/20,Belgium,BEL,38496,5683,.14762573,.25033489,153778
4/19/20,Bolivia,BOL,520,32,.061538462,.14569907,3569
4/19/20,Bosnia and Herzegovina,BIH,1285,48,.037354086,.072118081,17818
4/19/20,Brazil,BRA,38654,2462,.063693278,.6137017,62985
4/19/20,Bulgaria,BGR,894,42,.046979867,.033841845,26417
4/19/20,Burkina Faso,BFA,576,36,.0625,,
4/19/20,Cameroon,CMR,1017,42,.041297935,,
4/19/20,Canada,CAN,35633,1565,.043919962,.066471785,536062
