Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020
Ukraine,UKR,Europe,Eastern Europe,,.,.,.,Europe,https://www.countryflags.io/ua/flat/64.png,44622516,44.62251663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0032014586,.0032014586,.0032014586,.0032014586,.0032014586,.0032014586,.016007293,.0128058344,.016007293,.0224102102,.0288131274,.0384175032,.0576262549,.0544247963,.0640291721,.0704320893,.0640291721,.0576262549,.0704320893,.0832379237,.1248568892,.172878772,.195288986,.2209006548,.2913327515,.345757544,.4514056742,.5922698379,.6274858713,.8259763122,.8387821913,.7939617634,.8996098638,1.018063903,1.715981841,1.623139501,1.578319073,1.61673665,2.000911713,2.173790455,2.349870682,2.020120382,2.292244434,2.266632795,2.417101383,2.826888084,3.182250023,3.707289219,4.139485836,4.517258167,4.840605736
Uganda,UGA,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/ug/flat/64.png,42723139,42.72314072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0133751538,.0133751538,.0234065186,.0267503075,.0401254594,.0668757707,.0668757707,.0601881929,.0802509189,.1036574394,.100313656,.1103450209,.0869385004,.0869385004,.0802509189,.0601881929,.0300940964,.0468130372,.0234065186,.0200627297,.0200627297,.0200627297,.0200627297,.0267503075,.0100313649,.0100313649,.0100313649,.0100313649,.0100313649,.0100313649
Tanzania,TZA,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/tz/flat/64.png,56318348,56.31834793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0025366005,.0025366005,.0025366005,.0025366005,.0025366005,.0025366005,.0050732009,.0050732009,.0050732009,.0050732009,.0050732009,.0101464018,.0101464018,.0076098014,.0050732009,.0050732009,.0050732009,.0101464018,.0050732009,.0152196027,.0152196027,.0152196027,.0152196027,.0152196027,.0101464018,.0101464018,0,0,.0938542113,.0938542113,.0938542113,.0938542113,.0938542113,.3957096636,.3957096636,.3018554449,.3018554449,.3018554449,.3018554449,.3018554449,0,0,.0405856073,.0405856073,.0405856073
Turkey,TUR,Asia,Western Asia,,.,.,.,Asia,https://www.countryflags.io/tr/flat/64.png,82319724,82.31972504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0451202393,.0451202393,.0728865415,.1214775667,.1822163463,.2811338007,.4217006862,.5327659249,.6750681996,.7670440674,1.242542028,1.626064062,2.019998312,2.323692322,2.625650883,2.997025251,3.364928722,3.781423092,4.171886921,4.565821171,5.582761765,6.643087387,8.584993362,10.77332497,12.99462891,14.8029089,16.43938637,17.5604496,18.74745941,19.7869606,22.74407196,26.25477409,29.78629875,35.3343544,41.46029282,47.83266068,52.74729538,55.65581512,56.70746231,59.02248001,59.65416336,59.82943726,59.28452301,59.1734581,56.55301285,54.18072891,51.26353455
Tunisia,TUN,Africa,Northern Africa,,.,.,.,Africa,https://www.countryflags.io/tn/flat/64.png,11565204,11.56520367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0123523241,.0123523241,.0123523241,.0247046482,.0247046482,.0247046482,.0247046482,.0123523241,.0247046482,.0247046482,.0370569713,.0370569713,.0370569713,.0370569713,.0370569713,.0247046482,.2717511356,.2470464855,.2470464855,.2470464855,.4693883061,.4693883061,.4693883061,.2223418355,.2223418355,.2223418355,.2223418355,0,0,1.296993971,1.296993971,1.815791607,1.815791607,1.865200877,2.025781155,2.136952162,1.618154407,1.618154407,1.284641743,1.420517206,1.506983519,1.432869554,1.383460283,1.568745136,2.507521868,3.668640137,3.64393568,3.977448225,4.162733078,4.59506464
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,1389858,1.389858007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1027854234,.1027854234,.1027854234,0,0,0,.1027854234,0,0,0,.1027854234,.1027854234,.1027854234,0,0,0,0,0,0,0,0,1.130639672,1.541781306,1.541781306,1.644566774,1.850137591,1.952923059,1.952923059,.9250687957,.5139271021,.6167125106,1.130639672,1.850137591,2.877991915,2.877991915,3.289133549,3.391918898,3.803060532,3.1863482,3.494704485,2.466850042,3.597489834,3.597489834,4.008631706,4.111416817,4.522558689,3.289133549,3.1863482,2.055708408,1.644566774,1.438995957
Timor-Leste,TLS,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/tl/flat/64.png,1267972,1.267971992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1126658469,.1126658469,.1126658469,.1126658469,.1126658469,.1126658469,.1126658469,0,0,0,0,0,0,0,.1126658469,.1126658469,.1126658469,.1126658469,.5633292794,.5633292794,1.689987779,1.577321887,1.577321887,1.577321887,2.027985334,1.577321887,1.577321887,.5633292794,.5633292794,.5633292794,.5633292794
Tajikistan,TJK,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/tj/flat/64.png,9100837,9.100836754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,THA,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/th/flat/64.png,69428524,69.4285202,.0102880737,.0102880737,.0102880737,.0102880737,.0061728442,.0061728442,0,0,0,0,.0102880737,.0102880737,.0102880737,.0102880737,.0102880737,.0144033032,.0144033032,.0041152295,.0082304589,.0102880737,.0102880737,.0102880737,.0061728442,.0102880737,.0102880737,.0144033032,.0123456884,.0144033032,.0144033032,.0144033032,.0226337612,.0226337612,.0144033032,.0205761474,.0185185317,.0185185317,.0185185317,.0061728442,.0061728442,.0061728442,0,.0041152295,.0061728442,.0061728442,.0082304589,.0082304589,.0082304589,.0082304589,.0164609179,.0164609179,.0164609179,.0144033032,.0144033032,.0185185317,.0185185317,.0226337612,.0576132126,.094650276,.1131688058,.1131688058,.109053582,.380658716,.5967082381,.895062387,.8580253124,1.059671521,1.1872437,1.432099819,1.160494685,1.12345767,.7880664468,.895062387,.8251034617,.9485603571,.8744862676,1.018519282,1.063786745,1.253087401,1.343622446,1.39094758,1.341564775,1.460906386,1.462964058,1.446503162,1.759260535,1.72222352,1.765433431,1.563787103,1.370371342,1.255144954,1.119342446,.6440333724,.5226341486,.3539097309,.380658716,.2983541191,.2695475221,.1954733878,.1975310147,.1810700893,.1337449551,.1131688058,.1131688058
Togo,TGO,Africa,Sub-Saharan Africa,Western Africa,.,.,.,Africa,https://www.countryflags.io/tg/flat/64.png,7889094,7.889093876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0181081817,.0181081817,.0181081817,.0181081817,.0181081817,.0181081817,.0181081817,0,0,0,0,.1629736274,.1629736274,.2897309065,.2897309065,.2897309065,.344055444,.3983799815,.2354063541,.2354063541,.1267572641,.1448654532,.1448654532,.1629736274,.1086490899,.1629736274,.2172981799,.3802718222,.4164881706,.4345963597,.4164881706,.4345963597,.4345963597,.3802718222,.2535145283,.1991899908,.2354063541,.1810818166,.1629736274,.1267572641,.1448654532,.1086490899,.1267572641,.0724327266,.0905409083,.2172981799,.1991899908,.2354063541,.3621636331,.344055444,.3802718222,.3983799815
