Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.6666666865,.6666666865,.6666666865,0,.3333333433,.3333333433,.3333333433,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,.3333333433,.3333333433,1.666666627,1.333333373,1.333333373,0,1.666666627,1.666666627,31,34.66666794,43.33333206,23.66666603,19,10.33333302,57.33333206,61,167.6666718,173.6666718,237,661.333313,1591.666626,1984,1936.333374,1119,894.333313,2059.333252,2815.666748,3291.333252,2370.333252,2037,1943,2342.333252,2570.333252,2526,4897.333496,5497.666504,6369.333496,3740.333252,3594,4248,5211.333496,4594.666504,3454.666748,2343,2624.666748,7958.333496,7668.666504,8928.333008,4115,5188,4577.333496,14174.33301,16026.33301,18220.66602,8735,7721.666504,4803,3252.666748,2618.666748,3067.333252,7541.333496,7044.333496,11246.66699,5917.666504,9087,4560.333496,6820,8315.333008,8617,10810.33301,7005.333496,7349,5080,20247.66602,22309,22772.66602,9674,7887.666504,8257.333008,6944.666504,7181.333496,8317.666992,14922.33301,17261.66602,15802.33301,11500,8923.666992,9279.333008,7197,7121.666504,8938.666992,8002,9045.666992,7256.666504,7510.333496,7700.666504,7174.666504,9649.333008,8965.666992,10125,7593.666504,7737.333496,8423,7672.666504,11161,10029.33301,11342.66699,7788,7753.666504,7715.666504,7200.666504,11464.66699,13774.33301,14943.33301,25589,23257.66602,54777,41597.66797,44581.33203,14050.33301,15566.33301,14987.66699,15569.66699,14038,12405,16251.33301,17840.66602,23185.33398,19568.66602,19368.66602,15612.66699,13492,17627.66602,18683.5
United Kingdom,GBR,Europe,Northern Europe,,.,.,.,Europe,https://www.countryflags.io/gb/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,2.333333254,2.333333254,2.333333254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333254,3.333333254,3.333333254,0,0,0,0,0,0,.6666666865,11.33333302,15.66666698,15,4.333333492,0,0,0,23.33333397,23.33333397,23.33333397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.66666412,69.66666412,69.66666412,-114.6666641,-114.6666641,-114.6666641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,ESP,Europe,Southern Europe,,.,.,.,Europe,https://www.countryflags.io/es/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,.6666666865,.6666666865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.333333015,9.333333015,10,.6666666865,51,50.33333206,53.66666794,111.3333359,111.3333359,112.3333359,170.3333282,188,192.3333282,186.6666718,348,489.3333435,329,556.333313,930.666687,1480,1854.333374,2306,2564.666748,2474.333252,2324.666748,2646,3321,3751.333252,3857.333252,3779,3308,2996.333252,3313.666748,3909.333252,4153.333496,3696,3408.666748,3019.666748,2798.333252,2820.666748,3356.666748,2431,1314.666626,853.333313,1930,2572.333252,2852.666748,2887.666748,3280.333252,3264.333252,3040.666748,2840,2280,3525,3725,3167.333252,2767,2284,3097.666748,2079.333252,2366.666748,2389.333252,2554,2650,2551.666748,1997,1676,1552.333374,2078.333252,1934.333374,1874.333374,1024,1864.333374,1310,1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,ITA,Europe,Southern Europe,,.,.,.,Europe,https://www.countryflags.io/it/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.6666666865,.3333333433,0,.3333333433,14.66666698,15,14.33333302,12.66666698,34.33333206,38,64.33333588,88.33333588,121,104.3333359,69.33333588,67,45,141,107,238.3333282,307,430,436.6666565,325,563.333313,563.666687,499.6666565,682.333313,861.333313,861.333313,751.333313,779.333313,1112.333374,874.666687,1007.333313,889.666687,1223.333374,1115,1272.333374,1219.333374,1343,1383,1179,1026.333374,1132,1558.666626,1877.666626,2021,2014.333374,1913.666626,1660,1532,1293.666626,1576.333374,1865.666626,2278.333252,2297,2050,2224.333252,2496,2899.666748,2966,2859,2450.666748,2042,1940.333374,2108,3107,3102.666748,2887.333252,1903,1543.333374,1772.333374,3863.666748,4465.666504,4597.333496,3262,2970,2521.333252,2002.666626,2451.666748,2900.333252,3722,3423,3296,2373.666748,2197,2368.666748,2411.333252,2439.666748,2186,1973,1753.666626,1939.333374,2207.333252,2874.333252,2728.666748,2844,2301,1837,1486.333374,1143.666626,1180,1229.666626,1380,1314,934.333313,1189.333374,1367.333374,1584.666626,1479.666626,1642,1677.333374,1308.333374,1220.333374,1028.333374,1178,1127,999.333313,783,506.3333435,710.666687,1072.666626,1099.666626,1010,824.333313,722,527,554.666687,608.666687,629,406.3333435,409,341.6666565,258,290.3333435,510.6666565,579,486,313,316.6666565,277.6666565,287.3333435,362.6666565,380,347.3333435,263.3333435,234.3333282,226.3333282,178
Germany,DEU,Europe,Western Europe,,.,.,.,Europe,https://www.countryflags.io/de/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,3.666666746,3.666666746,3.666666746,.6666666865,.6666666865,.6666666865,0,0,.3333333433,.6666666865,.6666666865,.3333333433,0,0,0,0,0,.3333333433,.6666666865,.6666666865,.3333333433,0,2.333333254,2.333333254,9.333333015,7,7,7,7,19.66666603,15.33333302,37.66666794,42.66666794,51,28.66666603,1003.333313,1093.666626,1802.333374,1138.333374,1644.666626,1179.333374,2280.666748,2539.666748,3163,2980,2825,2566.666748,2086.666748,1375,3227,5866.666504,7902.333496,5944,3700,2631,3462.333252,3600,4100,4233.333496,4971.333496,4266.666504,3666.666748,2795.333252,3266.666748,3800,3933.333252,4866.666504,3466.666748,2900,1566.666626,2533.333252,2800,3000,3166.666748,2866.666748,2366.666748,1933.333374,2033.333374,3100,3000,2200,1133.333374,900,1305.666626,1300,1433.333374,1561,1465.666626,1300,1237,1148,1027,985,1015.333313,1127.666626,916.666687,731.333313,711.666687,750.333313,846.333313,720.333313,759.333313,696,664,462.3333435,567,700.333313,759,623.666687,501.6666565,438.3333435,358.6666565,390.3333435,468.6666565,468.3333435,468.6666565,446.6666565,376,385.6666565,290.6666565,503.3333435,385,376.6666565,336.6666565,297.6666565,390.3333435,405.3333435,560.666687,540.333313,441.3333435,365.3333435,297.6666565,207,194,481,676.666687,733.333313,633.333313,639.666687,620,553.666687,478,522.666687,455.6666565,371,228.6666718,357.3333435,278,528.666687,433.3333435,600,400,333.3333435,390,435
France,FRA,Europe,Western Europe,,.,.,.,Europe,https://www.countryflags.io/fr/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,.6666666865,.6666666865,.6666666865,.6666666865,.6666666865,0,0,0,0,0,0,0,2.333333254,2.333333254,2.333333254,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729.333313,729.333313,1077,566.666687,916,819,600,751.333313,742.333313,1248,1244,1500.333374,1521.333374,1501.333374,1251.666626,1080.666626,1299.666626,1690.333374,1985.333374,1865,1712.333374,1326.666626,928.666687,707,1084.666626,1526.333374,1774,1646.333374,1225.333374,982.666687,1054.666626,1338.333374,1544,1390.666626,1276,903.666687,672.666687,727,1071,1279.666626,1101,804.333313,467,379.3333435,684,1016.333313,1212.666626,989,621.333313,328.6666565,266.3333435,577,768.666687,910.333313,842,591.333313,535.666687,424.3333435,701.333313,602,600,437,393.3333435,248.3333282,328.3333435,443,514,518.666687,459,516,341.6666565,173.6666718,144.6666718,302.6666565,463.3333435,507.3333435,417,257.6666565,104,151.3333282,249.6666718,341.6666565,280.6666565,250.3333282,158.6666718,47,53.33333206,134.3333282,201,184.3333282,139.3333282,113,80.33333588,103.6666641,159,195,199.3333282,105.6666641,44.33333206,15,86.33333588,141.3333282,153,155.6666718,71,12.66666698,17.33333397,90.33333588,13.66666698,58.33333206,11,22.33333397,-69.33333588,-72,-94,-142,-90,20.33333397,-45,-90.33333588,-161.6666718,-72.5
