Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020
Ukraine,UKR,Europe,Eastern Europe,,.,.,.,Europe,https://www.countryflags.io/ua/flat/64.png,44622516,44.62251663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.002241021,.002241021,.002241021,.002241021,.002241021,.002241021,.0112051051,.0112051051,.0134461261,.0179281682,.0201691892,.0268922523,.0403383784,.0470614433,.0537845045,.0605075695,.0515434854,.0515434854,.0649896115,.0829177797,.1142920777,.1479073912,.1568714678,.1680765748,.2106559873,.2577174306,.3540813327,.4885425866,.5378450751,.6767883897,.6678242683,.6454140544,.7507420778,.9120955467,1.485796928,1.432012439,1.465627789,1.384950995,1.606812119,1.69421196,1.969857574,2.344108105,2.406856537,2.339626074,1.875734687,2.449435949,2.816963434,3.433244228,3.841110229,4.047284126,4.083140373,4.20191431,4.20191431,4.858533859,5.656337261,5.822172642,6.29502821,6.09557724,5.75942421,6.102300167,6.487755775,6.586360931,7.198159695,7.200400829,6.644627571,6.187458992,5.981285095
Uganda,UGA,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/ug/flat/64.png,42723139,42.72314072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0093626073,.0093626073,.0163845625,.0187252145,.0280878227,.0468130372,.0468130372,.0514943413,.0655382499,.0889447704,.0795821622,.0959667265,.0912854224,.0889447704,.0795821622,.0608569495,.0631975979,.070219554,.0561756454,.032769125,.032769125,.0163845625,.0140439114,.0210658666,.0210658666,.0210658666,.0187252145,.0070219557,.0070219557,.0070219557,.0070219557,.0070219557,.0070219557,.0187252145,.0187252145,.0187252145,.0187252145,.0187252145,.0187252145,.0234065186,.0257471707,.0304284748,.0304284748,.0117032593,.0140439114,.0140439114
Tanzania,TZA,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/tz/flat/64.png,56318348,56.31834793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0017756203,.0017756203,.0017756203,.0017756203,.0017756203,.0017756203,.0035512405,.0053268606,.0053268606,.0053268606,.0035512405,.0071024811,.0071024811,.0071024811,.0071024811,.0071024811,.0053268606,.0071024811,.0071024811,.0142049622,.0142049622,.0106537212,.0106537212,.0106537212,.0106537212,.0106537212,.0106537212,.0071024811,.0728004277,.0656979531,.0656979531,.0656979531,.0656979531,.2769967616,.2769967616,.2769967616,.2769967616,.2769967616,.2112988085,.2112988085,.2112988085,.2112988085,.2397087365,.0284099244,.0284099244,.0284099244,.0284099244,.0284099244,.0284099244,.0284099244,.0284099244,.0284099244,0,0,0,0,0,0,0,0,0
Turkey,TUR,Asia,Western Asia,,.,.,.,Asia,https://www.countryflags.io/tr/flat/64.png,82319724,82.31972504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.031584166,.031584166,.0510205775,.0850342959,.1275514513,.1967936605,.2951904833,.404520303,.5041319132,.5879514217,.9232295156,1.234212041,1.559772015,1.836740851,2.114924431,2.405255795,2.648211002,3.197289705,3.68198514,4.218915939,4.874894619,5.626841068,7.000752449,8.562953949,10.45557404,11.94610405,13.37103558,14.52021408,15.82974148,17.65555,20.57587051,24.18375397,26.78701782,30.56375694,34.44617844,38.95056915,43.07108688,47.24262619,50.75575638,54.25188065,56.40082169,57.94844437,59.59932327,59.758461,57.80752945,55.19940567,53.21324921,50.98656464,49.35633469,46.84661102,43.56671524,39.90295029,36.36431122,32.7722168,30.58926582,28.44397163,25.86986351,23.33584023,20.92086601,19.29914093,17.81347084,16.86351585,16.24155045
Tunisia,TUN,Africa,Northern Africa,,.,.,.,Africa,https://www.countryflags.io/tn/flat/64.png,11565204,11.56520367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.008646627,.008646627,.008646627,.0172932539,.0172932539,.0172932539,.0172932539,.0172932539,.0259398799,.0259398799,.0345865078,.0345865078,.0345865078,.0259398799,.0259398799,.0259398799,.1988724172,.1988724172,.1902257949,.1902257949,.3285718262,.3285718262,.3285718262,.3285718262,.3285718262,.3285718262,.1556392759,.1556392759,.1556392759,1.063535094,.9078958035,1.271054149,1.271054149,1.305640697,1.418046832,1.495866418,2.040603876,2.040603876,2.170303345,1.357520461,1.452633262,1.150001407,1.193234444,1.833084941,2.377822399,3.242485046,2.775567293,3.10413909,3.164665461,3.415417671,3.553763628,3.605643272,3.726696253,3.147372246,2.766920567,1.867671371,1.867671371,1.565039396,1.435340047,1.400753498,1.348873734,1.409400225,1.340227127,1.271054149,1.011655331,1.054888487
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,1389858,1.389858007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0719497949,.0719497949,.0719497949,0,0,0,.0719497949,.0719497949,.0719497949,.0719497949,0,0,0,.0719497949,.0719497949,.0719497949,0,0,0,0,0,.7914477587,1.079246998,1.079246998,1.151196718,1.295096278,1.367046118,1.367046118,1.438995957,1.438995957,1.510945678,1.151196718,1.510945678,2.302393436,2.230443716,2.446293116,2.446293116,2.806041956,2.734092236,3.597489834,3.597489834,3.957238674,3.669439554,3.237740755,3.669439554,3.597489834,3.525540113,3.165791035,3.165791035,2.374343157,2.518242836,1.726795077,1.367046118,1.007297158,.5755983591,.2877991796,.2877991796,.2877991796,.2877991796,.2158493847,0,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949
Timor-Leste,TLS,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/tl/flat/64.png,1267972,1.267971992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0788660944,.0788660944,.0788660944,.0788660944,.0788660944,.0788660944,.0788660944,.0788660944,.0788660944,.0788660944,0,0,0,0,.0788660944,.0788660944,.0788660944,.0788660944,.3943304718,.3943304718,1.182991385,1.182991385,1.182991385,1.182991385,1.419589758,1.419589758,1.419589758,1.498455763,1.182991385,1.182991385,.3943304718,.3943304718,.3943304718,.3943304718,.0788660944,.3154643774,.3154643774,.2365982831,.2365982831,.2365982831,.2365982831,.2365982831,.2365982831,.2365982831,.2365982831,0,0
Tajikistan,TJK,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/tj/flat/64.png,9100837,9.100836754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.043308258,5.164360523,5.164360523,11.96593285,13.43832493,14.29538918,15.32826042,15.56999683
Thailand,THA,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/th/flat/64.png,69428524,69.4285202,.0072016516,.0072016516,.0072016516,.0072016516,.0043209908,.0043209908,0,.0072016516,.0072016516,.0072016516,.0072016516,.0072016516,.0100823119,.0100823119,.0100823119,.0129629727,.0144033032,.0072016516,.0072016516,.0072016516,.0100823119,.0100823119,.0129629727,.0129629727,.0144033032,.0115226423,.0100823119,.0187242944,.0187242944,.0187242944,.0201646239,.0201646239,.0144033032,.0144033032,.0129629727,.0129629727,.0129629727,.0043209908,.0072016516,.0086419815,.0043209908,.0057613212,.0057613212,.0057613212,.0057613212,.0144033032,.0158436336,.0158436336,.0129629727,.0115226423,.0144033032,.0129629727,.0244856142,.0504115596,.0763375014,.0806584954,.0792181641,.0792181641,.2693417668,.4320990741,.6639922857,.6639922857,.8065849543,.8699594736,1.015432835,1.002469897,1.1393013,1.1393013,1.024074793,.9664615989,.9074080586,1.026955485,.9736632705,1.052881479,1.013992548,1.152264237,1.153704524,1.294856906,1.42304635,1.420165658,1.401441336,1.633334517,1.644857168,1.644857168,1.512346745,1.441770554,1.325103879,1.24588573,1.061523438,.9866262674,.8800417781,.5473254919,.4450620711,.2779837549,.2880660594,.2405351549,.2347738296,.1901236027,.1757202893,.1584363282,.1109054312,.0950618014,.1512346864,.1584363282,.1541153342,.1353910416,.1209877431,.1051441133,.1008231193,.1353910416,.145473361,.1613169909,.103703782,.1022634506,.1065844372,.1065844372
Togo,TGO,Africa,Sub-Saharan Africa,Western Africa,.,.,.,Africa,https://www.countryflags.io/tg/flat/64.png,7889094,7.889093876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0126757268,.0126757268,.0126757268,.0126757268,.0126757268,.0126757268,.0126757268,.0126757268,.0126757268,.0126757268,0,.1140815392,.1140815392,.2028116286,.2028116286,.2028116286,.2408388108,.278865993,.278865993,.278865993,.2915417254,.1901359111,.1901359111,.1521087289,.1521087289,.1901359111,.1901359111,.278865993,.3168931603,.3295688927,.3549203575,.3549203575,.3929475248,.3422446251,.3802718222,.3422446251,.3422446251,.215487361,.1774601787,.1774601787,.1521087289,.1521087289,.1267572641,.1267572641,.1014058143,.1901359111,.1521087289,.1901359111,.2915417254,.278865993,.2915417254,.3042174578,.2915417254,.3295688927,.3675960898,.278865993,.278865993,.278865993,.2408388108,.2661902606,.2535145283,.2661902606,.3675960898,.3675960898,.4690018892,.5704076886,.8239222765,.988706708
