Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020
Chad,TCD,Africa,Sub-Saharan Africa,Middle Africa,.,.,.,Africa,https://www.countryflags.io/td/flat/64.png,15477751,15.47775078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0129217738,.0129217738,.0129217738,.0129217738,.0129217738,.0129217738,.0129217738,.0129217738,.0129217738,.032304436,.0193826612,.0387653224,.0387653224,.0387653224,.0387653224,.0387653224,.0387653224,.0387653224,.083991535,.0646088719,.0646088719,.0710697547,.0710697547,.1615221798,.1615221798,.200287506,.200287506,.200287506,.1809048355,.1809048355,.2261310518,.200287506,.2196701616,.1292177439,.1292177439,.2390528172,.2519745827,.2842790186,.2907399237,.4393403232,.4328794479,.4328794479,.5556362867,.8011500239,.8592979908,.7753064632,.8140717745,.8528370857,1.007898331,1.240490317
Syria,SYR,Asia,Western Asia,,.,.,.,Asia,https://www.countryflags.io/sy/flat/64.png,16906283,16.90628242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.011829922,.011829922,.011829922,.017744882,.023659844,.023659844,.023659844,.029574804,.029574804,.029574804,.017744882,.017744882,.017744882,.011829922,.005914961,.005914961,.005914961,.005914961,.005914961,.005914961,.005914961,.0354897641,.053234648,.0828094557,.0946393758,.0946393758,.0946393758,.1242141798,.1242141798,.1242141798,.1242141798,.0946393758,.0768944919,.0473196879,.0473196879,.0473196879,.0473196879,.011829922,.011829922,.011829922,.011829922,.053234648,.053234648,.053234648,.0414047278,.0414047278,.0414047278,.0414047278,.0473196879,.0473196879,.0709795281,.029574804,.029574804
Eswatini,SWZ,Africa,Sub-Saharan Africa,Southern Africa,.,.,.,Africa,https://www.countryflags.io/sz/flat/64.png,1136191,1.13619101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3520534933,.3520534933,.616093576,.616093576,.616093576,.616093576,.616093576,.616093576,.7041069865,.7041069865,.3520534933,.3520534933,.0880133733,.0880133733,.0880133733,.0880133733,.0880133733,.0880133733,.1760267466,.1760267466,.1760267466,.1760267466,.1760267466,.1760267466,.3520534933,.3520534933,.3520534933,.3520534933,.1760267466,.1760267466,.1760267466,.1760267466,.1760267466,.3520534933,1.320200562,1.408213973,1.408213973,3.16848135,3.432521343,4.752721786,5.28080225,5.368815422,5.808882236,6.424975872,6.160935879,7.39312315,8.009216309,6.248949051,9.24140358,8.097229958,8.097229958
Sweden,SWE,Europe,Northern Europe,,.,.,.,Europe,https://www.countryflags.io/se/flat/64.png,10175214,10.17521381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0098278029,.0098278029,.0098278029,.0098278029,.0098278029,.0098278029,.0098278029,.0098278029,.0098278029,.0098278029,.1474170536,.1474170536,.1474170536,.1474170536,.1474170536,.1474170536,.1474170536,.1474170536,.1474170536,.1474170536,0,0,0,.8550189137,.8550189137,1.857454777,1.857454777,1.857454777,1.857454777,1.857454777,1.857454777,1.857454777,3.58714819,2.732129335,2.732129335,1.729693413,1.729693413,1.729693413,3.390592098,3.390592098,3.390592098,3.390592098,1.660898805,1.660898805,1.660898805,1.660898805,6.132549286,6.132549286,4.4716506,4.4716506,4.4716506,4.4716506,4.4716506,4.4716506,4.4716506,4.4716506,30.16152763,30.16152763,30.16152763,38.97706604,38.97706604,38.97706604,38.97706604,38.97706604,38.97706604,38.97706604,8.81553936,8.81553936,8.81553936,0,0,0,0,0,0,0,0,0,0
Slovenia,SVN,Europe,Southern Europe,,.,.,.,Europe,https://www.countryflags.io/si/flat/64.png,2073894,2.073894024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.4821847081,.4821847081,.4821847081,.4821847081,.4821847081,.4821847081,.4821847081,.4821847081,3.375293016,3.375293016,3.327074528,3.327074528,4.436099529,4.436099529,5.304031849,5.689779758,6.123745918,6.654149055,3.857477665,3.953914642,3.519948483,4.146788597,3.471729994,3.471729994,3.375293016,3.085982084,2.700234413,2.362704992,2.652015924,2.844889879,2.844889879,2.603797436,2.266268253,2.266268253,1.591209531,1.832301974,1.928738832,1.735864997,1.63942802,1.446554184,1.446554184,1.20546174,1.20546174,1.253680229,1.398335695,1.20546174,1.109024882,1.109024882,.9643694162,.9161509871,1.253680229,1.253680229,1.253680229,1.253680229,52.22060394,52.22060394,52.26882172,52.26882172,52.1241684,52.07595062,51.73841858,51.88307571,51.78664017
Slovakia,SVK,Europe,Eastern Europe,,.,.,.,Europe,https://www.countryflags.io/sk/flat/64.png,5446771,5.446771145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1285165101,.1285165101,.1285165101,.1285165101,.0367190018,.0367190018,.0367190018,.0367190018,.1285165101,.0550785027,-.0734380037,-.0367190018,.0550785027,.0550785027,.1468760073,.1101570055,.2019545138,.2570330203,.2937520146,.3671900332,.3671900332,.330471009,1.78087163,1.891028643,2.588689566,2.919160604,2.974239111,3.616821766,3.782057285,4.185966015,4.314482689,4.791829586,3.323069572,4.442999363,4.314482689,4.167606831,4.185966015,3.855495214,4.681672573,5.012143612,5.50785017,5.948478222,6.076994896,5.287536144,6.517622948,6.756296158,7.398879051,8.849279404,7.986382961,7.655911922,7.362159729,6.884812832,8.096539497,8.610606194,7.160205364,7.141845703,6.554341793,5.140660286,5.012143612,5.324255466,5.250817299,5.012143612,4.039090157,3.469945669,3.231272221,3.13947463
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,575991,.5759909749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5208414793,.6944553256,.6944553256,.6944553256,.6944553256,1.041682959,1.041682959,1.041682959,1.041682959,1.041682959,.5208414793,.3472276628,.3472276628,.3472276628,.3472276628,0,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.3472276628,.3472276628,.3472276628,.3472276628,.5208414793,.3472276628,.3472276628,.3472276628,.3472276628,.3472276628,.1736138314,.1736138314,.1736138314,.1736138314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,SSD,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/ss/flat/64.png,10975920,10.97591972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.018221708,.018221708,.018221708,.018221708,.018221708,.018221708,.0273325611,.036443416,.036443416,.036443416,.018221708,.018221708,.018221708,.018221708,.036443416,.036443416,.0273325611,.018221708,.018221708
Serbia,SRB,Europe,Southern Europe,,.,.,.,Europe,https://www.countryflags.io/rs/flat/64.png,6982604,6.982604027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0143213049,.0143213049,.0143213049,.0143213049,.0143213049,.0143213049,.0143213049,.0143213049,.2148195654,.2148195654,-.0143213049,-.0143213049,-.0143213049,-.0143213049,-.0143213049,-.0143213049,-.0143213049,-.0143213049,-.2148195654,-.2148195654,0,0,0,0,0,0,0,0,0,0,0,0,7.647576809,9.122671127,10.78394222,12.45953465,13.99191475,14.6793375,15.28083229,15.66750717,16.49814224,16.92778206,9.666880608,8.922172546,7.719183445,6.77397728,5.241597652,5.742843151,6.931511402,6.874226093,8.177465439,11.29950905,13.6195612,17.0853157,20.62267876,19.89229202,27.88358116,31.13451576,32.5523262,35.94647598,36.92032242,35.91783142,36.56229019,33.59778214,31.10587311,33.44024658,29.78831291,27.7976532,26.8524456,25.39167404,23.18619156,22.74223137
Somalia,SOM,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/so/flat/64.png,15008154,15.00815392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0066630444,.0066630444,.0066630444,.0066630444,.0066630444,.0066630444,.0066630444,.0066630444,.0066630444,.0066630444,0,0,.0066630444,.0066630444,.0066630444,.0066630444,.0066630444,.0066630444,.0066630444,.0133260889,.0199891347,.0199891347,.0133260889,.0399782695,.0399782695,.0399782695,.0533043556,.0533043556,.113271758,.113271758,.1799022108,.1799022108,.1998913437,.2398696095,.3531413674,.4464240074,.5130544305,.6396523118,.5796849132,.599674046,.5796849132,.599674046,.6130000949,.5730218291,.4930652976,.3997826874,.4064457119,.3065000474,.3797935545,.4530870318,.4664131403,.5530326962,.5197174549,.4930652976,.4597500861,.6663044691,.6996197104
El Salvador,SLV,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/sv/flat/64.png,6420744,6.420743942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.031149039,.031149039,.0778725967,.0778725967,.1401706785,.2180432677,.2336177826,.2959158719,.3270649016,.3426394165,.3582139313,.4360865355,.4360865355,.5139591098,.5295336246,.4672355652,.4828101099,.4516610503,.6541298032,.7008533478,.7787259817,.7008533478,.7787259817,.7943004966,.8410240412,.9656202197,1.136939883,1.183663487,1.214812517,1.354983211,1.635324478,2.024687529,2.118134499,2.538646698,2.491923094,2.647668362,2.709966421,3.130478382,3.239500046,3.426394224,3.504266739,3.301798105,3.457543373,3.301798105,3.37967062,3.519841433,3.800182581,3.410819769,3.441968679,3.052605867,3.550990343,5.528954506,5.388783455
Sierra Leone,SLE,Africa,Sub-Saharan Africa,Western Africa,.,.,.,Africa,https://www.countryflags.io/sl/flat/64.png,7650154,7.650154114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0784297958,.0784297958,.0784297958,.0784297958,.1307163239,.1307163239,.1307163239,.1307163239,.1307163239,.1568595916,.0784297958,.1960744858,.1960744858,.1960744858,.2483610064,.3529340625,.4313638508,.5751518011,.5751518011,.5490085483,.601295054,.601295054,.6666532159,.6666532159,.8888709545,.7842979431,.705868125,.6797248721,1.137231946,1.22873342,1.424807906,1.803885221,1.73852706,2.065317869,1.88231504,1.88231504,2.562039852,2.49668169
Singapore,SGP,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/sg/flat/64.png,5638676,5.638676167,0,0,0,0,0,0,0,.0354693197,.0354693197,.0354693197,.1596119255,.2660198808,.2660198808,.3014892042,.319223851,.319223851,.4256318212,.4788357913,.5675091147,.5675091147,.4965704679,.3901624978,.6384477019,.6029784083,.6207130551,.7803249955,.6739170551,.5852437615,.6739170551,.6739170551,.7271210551,.7271210551,.4788357913,.4788357913,.443366468,.2837545574,.2837545574,.2837545574,.1064079553,.4256318212,.319223851,.3369585276,.4788357913,.4788357913,.5497744083,.6384477019,.6384477019,.6384477019,.8157943487,.7803249955,.8512636423,.8335289955,.9044676423,.9754062295,1.117283583,1.223691463,1.489711404,1.737996578,1.844404578,1.773465872,1.791200519,2.16362834,2.234567165,2.429648399,2.624729633,2.855280161,3.174504042,3.440523863,4.114440918,4.469134331,5.018908501,5.213989735,5.391336441,5.568683147,5.887907028,6.012049675,5.870172024,5.923376083,5.462275028,5.480009556,5.515479088,5.958845615,5.994314671,6.118457317,6.207130909,6.685966492,6.863313198,6.881047726,7.4485569,7.856453896,7.608168602,7.99833107,8.583575249,8.885064125,9.168818474,10.17969418,10.94228458,16.17400932,19.65000153,26.1940918,34.70672989,44.40758514,60.31557465,80.08972168,101.60186,118.9640961,135.2799835,138.2416687,143.1009674,150.4963226,157.6965942,162.1657257,160.9065552,157.8916779,150.5672607,143.686203
Senegal,SEN,Africa,Sub-Saharan Africa,Western Africa,.,.,.,Africa,https://www.countryflags.io/sn/flat/64.png,15854360,15.85435963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0063074133,.0063074133,.0063074133,.0063074133,.0063074133,.0063074133,.0063074133,.0063074133,.0126148267,.0126148267,.0063074133,.0063074133,.0063074133,.0252296533,.0252296533,.0252296533,.0441518947,.0504593067,.0441518947,.0567667186,.1009186134,.1576853395,.1576853395,.2207594663,.2522965372,.3153706789,.3658299744,.3973670304,.4604411721,.5109004974,.5487449765,.5424375534,.6055116653,.6118190885,.67489326,.7316599488,.706430316,.7001228929,.6812006235,.6433561444,.5865894556,.6181265116,.6118190885,.6181265116,.5676671863,.5172079206,.4982856512,.4982856512,.5424375534,.5613597631,.5424375534,.5361301303,.5992042422,.6244339347,.7190451026,.7253525257,.7253525257,.9650342464,1.223638177,1.324556828,1.753460884,1.986835241,2.068831682,1.993142605,2.264361382,2.358972549,2.586039543,2.693265438,2.649113655,2.87618041,2.592346907,2.932947159,3.090632439,3.380773544,3.380773544,3.588918209,3.998900175,3.872751713,3.942133427,3.885366678
Sudan,SDN,Africa,Northern Africa,,.,.,.,Africa,https://www.countryflags.io/sd/flat/64.png,41801533,41.80153275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0023922569,.0047845137,.0047845137,.0047845137,.0047845137,.0047845137,.0047845137,.0047845137,.0047845137,.0047845137,.0023922569,0,0,.0047845137,.0047845137,.0047845137,.0047845137,.0047845137,.0095690275,.0095690275,.0143535407,.0143535407,.0239225682,.0239225682,.0239225682,.0358838513,.0382761098,.0406683646,.0598064177,.0621986762,.0741599575,.0909057558,.0956902727,.0909057558,.112436071,.1220050976,.1435354054,.1698502302,.1698502302,.2081263363,.2631482482,.2775017917,.289463073,.3492694795,.3277391791,.3229546547,.3397004604,.3109933734,.3468772471,.3995068669,.3277391791,.3516617417,.476059109,.5406500101,.6219867468,.7128925323,.672224164
Saudi Arabia,SAU,Asia,Western Asia,,.,.,.,Asia,https://www.countryflags.io/sa/flat/64.png,33699947,33.69994736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0029673637,.0029673637,.0029673637,.0029673637,.0029673637,.0029673637,.0059347274,.0178041812,.0178041812,.0178041812,.0207715463,.0445104539,.0445104539,.0445104539,.0801188201,.0830861852,.091988273,.0860535502,.091988273,.1780418158,.3175079226,.4421371818,.7359061837,.9258174896,.9584584832,1.16023922,1.350150466,1.531159639,1.71513617,1.676560521,1.635017395,1.54302907,1.353117824,1.284868479,1.347183108,1.391693592,1.314542055,1.302672625,1.287835836,2.071219921,2.172110319,2.388727665,2.729974508,3.118699312,3.323447227,3.442141771,3.810095072,4.056385994,4.397633076,4.317513943,4.61425066,4.964399338,5.682501316,5.795261383,6.554906368,7.201791763,9.543041229,13.1335516,15.62910461,18.80121613,21.33831215,24.61131477,27.24633408,34.10094452,40.0237999,43.2493248,48.77752304,50.09799957,53.18702698,58.24341583,63.76864624,65.34431458,69.14847565,70.46302032,70.07132721,72.60842133,70.62028503,73.54314423
Rwanda,RWA,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/rw/flat/64.png,12301939,12.30193901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.032515198,.032515198,.0569016002,.0569016002,.0569016002,.0569016002,.146318391,.2032199949,.3414095938,.3983111978,.4064399898,.4552128017,.4714703858,.5039855838,.5608872175,.5608872175,.5365008116,.4795991778,.3657959998,.3088943958,.2763791978,.2601215839,.2276064008,.2113488019,.1788336039,.2276064008,.2032199949,.2926367819,.3007656038,.3332808018,.3332808018,.3088943958,.3251519799,.3332808018,.3414095938,.2926367819,.3332808018,.2682504058,.3251519799,.3251519799,.3901824057,.3901824057,.5202431679,.5446295738,.5608872175,.6177887917,.5446295738,.5608872175,.5121144056,.5608872175,.4958567917,.5365008116
Russia,RUS,Europe,Eastern Europe,,.,.,.,Europe,https://www.countryflags.io/ru/flat/64.png,144478050,144.4780426,0,0,0,0,0,0,0,0,0,0,0,.0013842934,.0013842934,.0013842934,.0013842934,.0013842934,.0013842934,.0013842934,.0013842934,.0013842934,.0013842934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0006921467,.0006921467,.0006921467,.0006921467,.0006921467,.0006921467,.0041528801,.0041528801,.0041528801,.0041528801,.0034607335,.0041528801,.0041528801,.0062293201,.0089979069,.0089979069,.0096900538,.0145350806,.0207644012,.0256094281,.0283780154,.0380680673,.0394523628,.0754439905,.1204335243,.1515801251,.1792659909,.2104125917,.2194105089,.2498649508,.3080052733,.3571476936,.4374366999,.4665068686,.5917854309,.7309069037,.8229624033,.9420116544,1.12889123,1.313694477,1.450739503,1.714447379,1.794736385,1.834880948,1.957390904,2.1657269,2.367833853,2.681376219,2.951313496,3.08905077,3.291849613,3.736900091,4.841566086,5.656915188,6.469495296,7.331910133,8.131339073,8.670521736,9.423577309,10.07765579,11.39065838,12.56384659,14.97113323,15.70273209,18.39795113,19.72548866,21.70848846,24.52621841,26.55143929,28.95872498,30.15683174,30.17828751,30.60257339,35.35900497,36.60071564,38.97685623,41.4824295,41.36891556,41.92470932,47.04036713
Romania,ROU,Europe,Eastern Europe,,.,.,.,Europe,https://www.countryflags.io/ro/flat/64.png,19466145,19.46614456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0051371241,.0051371241,.0051371241,.0154113723,.0154113723,.0154113723,.0154113723,.0308227446,.0308227446,.0359598696,.0410969928,.0410969928,.0410969928,.0667826161,.0821939856,.113016732,.113016732,.2363077104,.2979531884,.2928160727,.3595986962,.3955585659,.4366555512,.5085752606,.6164548993,.9298194647,.9452308416,.863036871,.9657793045,1.042836189,1.047973275,1.248321176,1.438394785,1.494903088,1.649016857,1.654153943,2.25006032,2.614796162,2.599384785,3.005217552,3.241525412,3.709003687,4.330595493,4.885405064,5.383706093,6.174823284,6.395719528,6.616615772,7.166287899,7.983090878,8.034461975,9.072160721,8.594408989,8.717700005,8.388923645,8.599545479,8.614956856,10.27424812,11.17324448,10.99858284,12.28286362,12.5962286,13.17158604,14.04489708,15.42678356,15.50897789,17.1734066,15.58603477,14.98499107,16.12029457,15.88398743,19.43887711,20.11697769,19.44915199,19.2436676,18.01589394,16.71620178,16.97819519,17.13744545,15.88398743,16.5723629,12.05169296,11.60990047,11.81538582
Qatar,QAT,Asia,Western Asia,,.,.,.,Asia,https://www.countryflags.io/qa/flat/64.png,2781677,2.781677008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1437981427,.1437981427,.1437981427,.1437981427,.1437981427,.1437981427,.3594953716,.9706375003,1.186334729,1.186334729,1.330132842,1.330132842,1.402031898,1.402031898,1.473930955,1.581779599,1.473930955,1.258233786,1.36608243,1.402031898,1.869375944,2.444568396,2.875962973,3.163559198,3.774701357,4.67343998,5.572178364,5.931673527,6.327118397,7.297756195,8.663838387,9.490677834,10.17371845,10.20966816,11.2881546,11.93524647,11.21625519,11.79144764,13.19347954,14.88310814,14.95500755,15.67399788,18.80160713,21.46187401,21.64162064,22.43251038,26.06341362,29.37077141,29.55051994,30.37735939,32.85787582,35.98548508,35.76979065,38.03461075,43.85843658,44.43362808,43.35514069,49.6463089,50.47314835,53.38506317,53.16936493,55.57798386,58.31015015,61.76130295,74.9188385,90.91638184,114.4992752,138.2978668,159.9035339,175.2180481,193.0490112,209.0106049,245.0679932,289.6094666
French Polynesia,PYF,Oceania,Polynesia,,.,.,.,Oceania,https://www.countryflags.io/pf/flat/64.png,277679,.2776789963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.7202561498,.7202561498,6.842433453,6.842433453,12.60448265,12.9646101,14.76525116,14.76525116,14.76525116,15.48550701,16.92601967,17.28614807,11.16396999,11.5240984,5.762049198,5.401920795,4.321537018,4.681664944,4.681664944,4.681664944,2.520896435,2.160768509,2.160768509,1.800640345,2.520896435,2.520896435,2.160768509,1.800640345,1.800640345,1.080384254,1.4405123,1.4405123,1.4405123,1.4405123,.7202561498,.7202561498,.3601280749,.3601280749,.3601280749
Palestine,PSE,Asia,Western Asia,,.,.,.,,,4569087,4.569087029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3720655739,.3720655739,.3720655739,.3720655739,.3720655739,.3720655739,.3720655739,.3720655739,.3939517736,.3939517736,.0218862109,.0218862109,.0218862109,.0218862109,.0875448436,.0875448436,.1750896871,.1532034725,.5252690315,.5690414906,.5690414906,.5909276605,.8535621762,.8754484057,.8097897768,.8973346353,.8316760063,.8535621762,.5909276605,.547155261,.5909276605,.5690414906,.306406945,.2845207453,.3501793742,.4158380032,.4377242029,.4377242029,.306406945,.0437724218,0,.1094310507,.1094310507,.1094310507,.0656586289,.4596104324,.9629932642,1.991645098,2.035417557,3.436135054,3.436135054,4.092721462,4.924397469,5.077600956,5.099486828,4.552331924,4.114607334,3.392362595,3.479907513,2.385596991,2.582572937,1.8165555,.9848794937,.8316760063,.8316760063,1.028651834,.9192208648,.7879035473
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,6956071,6.9560709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,.0287518632,.0862555876,.1725111753,.1725111753,.1581352502,.2012630403,.2012630403,.2443908453,.2443908453,.2443908453,.2875186205,.2300149053,.1437593102,.1581352502,.2587667704,.2156389803,.2875186205,.3306464255,.4025260806,.5031576157,.575037241,.6469169259,.8050521612,.8913077712,.7906762362,.9056836963,.9631873965,.8769318461,.9631873965,.8913077712,.8194280863,.848179996,.747548461,.7187966108,.8194280863,.7906762362,.7187966108,.761924386,.747548461,.7906762362,.7763003111,.8050521612,.7763003111,.8338040113,.8050521612,.7763003111,.9631873965,1.078194857,1.106946707,1.236330152,1.308209777,1.667608023,1.768239617,2.170765638,2.645171404
Portugal,PRT,Europe,Southern Europe,,.,.,.,Europe,https://www.countryflags.io/pt/flat/64.png,10283822,10.28382206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0097240107,.0194480214,.0194480214,.0291720331,.0291720331,.0291720331,.0291720331,.0486200564,.0486200564,.0486200564,.0388960429,.1944802254,.1944802254,.3889604509,.3889604509,.3889604509,.3889604509,.369512409,.369512409,.369512409,.6126127243,.447304517,.5153725743,.3111683428,.9432290792,1.371085525,1.487773657,1.575289845,1.847562075,2.168454409,2.032318354,2.032318354,2.644931078,2.994995356,3.432575941,3.257543802,4.025740623,3.938224554,3.665952206,6.330331326,8.420993805,8.984986305,8.566853523,8.693265915,8.129273415,8.148721695,7.575004578,8.362649918,8.839125633,7.098527908,5.134277821,4.745317459,4.706421375,4.531389236,7.263836384,8.761334419,10.04490376,10.00600719,10.01573181,8.771058083,13.04962254,14.51794815,14.4498806,15.4125576,16.97812271,23.12369919,38.97383499,38.23480988,37.95281601,37.95281601,44.50679779,43.9817009,139.5492859,140.9398193,138.8005371
