Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020
Honduras,HND,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/hn/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,.3333333433,.3333333433,.3333333433,0,0,.6666666865,.6666666865,1,.3333333433,2,5,6.333333492,5,2,9.666666985,11.66666698,11.33333302,7,4.666666508,2.666666746,0,11,14.33333302,13,3.333333254,2,4.666666508,10.66666698,23.33333397,21,16.33333397,4.666666508,5.333333492,11.33333302,15.66666698,17.66666603,13.66666698,22,25.33333397,23.66666603,10,19,30,30,23.66666603,11.33333302,18,12.66666698,15.33333302,8.666666985,10,6,10,9,26.66666603,33,38,26.66666603,21.33333397,21,30,32.33333206,32.33333206,19,28.33333397,43.33333206,60.33333206,60.33333206,49.66666794,51.33333206,46.33333206,53,38,49.33333206,62,84.33333588,79.33333588,72.33333588,73.66666412,91.66666412,94.33333588,97.66666412,82.66666412,76.33333588,65
Haiti,HTI,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/ht/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,-.3333333433,-.3333333433,-.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,.6666666865,.6666666865,1.333333373,1.666666627,2,.6666666865,.3333333433,0,.6666666865,.6666666865,.6666666865,0,0,0,2,2.333333254,2.333333254,.3333333433,0,0,0,.3333333433,4,4,1,-2.666666746,-2.666666746,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,.6666666865,.6666666865,.6666666865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.3333282,162.6666718,162.6666718,68.33333588,64.66666412,64.66666412,66,75,108.6666641,100.6666641,105
Guatemala,GTM,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/gt/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333373,1.333333373,1.333333373,2,2,2,.6666666865,.6666666865,.6666666865,0,1,1,1,.6666666865,.6666666865,.6666666865,0,.6666666865,.6666666865,.6666666865,0,0,0,.6666666865,.6666666865,.6666666865,0,1,1,3,2,7,6.333333492,6.333333492,1.333333373,4.333333492,5.666666508,7.666666508,3.333333254,2,2.333333254,2.333333254,4.666666508,3.666666746,7.333333492,6,6.666666508,3.333333254,5.333333492,3.666666746,6,5,5.666666508,3,1,5.666666508,7,28,22.33333397,28.33333397,12,17.33333397,15,78.33333588,97,119.6666641,71,56.66666794,49,39.33333206,64.66666412,61.33333206,76.33333588,68,94,90,93.33333588,81,81.33333588,96.33333588,100,106.3333359,88,97.33333588,104.6666641,108,107.6666641,119.3333359,140.3333282,133,113,73,43.66666794,43.66666794,64.33333588,67.66666412,47.33333206,23.66666603,26.33333397,36.33333206,42.5
El Salvador,SLV,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/sv/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,.6666666865,1.666666627,1,2.333333254,3,3.333333254,3.333333254,2.333333254,2.333333254,2,3,3.666666746,4.333333492,4.333333492,3.666666746,2.666666746,1.666666627,6.333333492,7,9,4,5.333333492,4.666666508,7.333333492,7.666666508,10,9,11.66666698,11.66666698,18.66666603,21.33333397,21.66666603,24,17.33333397,19,13.66666698,22.66666603,24.33333397,27,26.66666603,22.66666603,22.33333397,19.66666603,19,20.33333397,24.33333397,23.33333397,22.66666603,11,29.66666603,67.33333588,72.33333588,86,76.66666412,76,46.66666794,12.66666698,16,43,48.66666794,50.33333206,29.66666603,31.66666603,30.33333397,43.33333206,46,44.33333206,41.66666794,56,100,114,113,101,97,103,89.66666412,104,100,115,121.6666641,129.6666718,153.6666718,159,174.3333282,147,119,107.6666641,135.6666718,155.6666718,172.5
Ecuador,ECU,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ec/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,17,18.33333397,20.66666603,3.666666746,14,11.66666698,11.66666698,0,13.33333302,79.66666412,89.33333588,90.33333588,54,76.33333588,95,93,80.33333588,47.33333206,76,74.33333588,104,66.33333588,67,59.33333206,53,34.66666794,12.66666698,63.66666794,63.66666794,63.66666794,.3333333433,118.6666641,191.6666718,580.666687,506.6666565,433.6666565,44.33333206,0,0,0,0,0,0,0,0,0,0,0,0,8,41.33333206,41.33333206,33.33333206,0,1,4815.333496,4815.333496,4955,140.6666718,395.6666565,255,389,134,276.3333435,142.3333282,142.3333282,183,333.6666565,333.6666565,150.6666718,0,280.6666565,280.6666565,553,334.3333435,400.6666565,223.3333282,273,272.3333435,258,254,188.3333282,289.3333435,181.6666718,181.6666718,0,368.6666565,500.6666565,643,320.3333435,312.3333435,224.6666718,276.3333435,200.6666718,219
Dominican Republic,DOM,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/do/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,.3333333433,.6666666865,2,4,3.666666746,2.333333254,.3333333433,5.666666508,6.666666508,11,15.66666698,20.66666603,19.33333397,17,18,18,25.66666603,21,35.33333206,34.66666794,49.33333206,49.33333206,50.33333206,72.66666412,55,100,80.33333588,109.6666641,76.66666412,114.3333359,106,102.6666641,74,84.33333588,101.6666641,128,141.3333282,118,97.66666412,127,208,233,194.6666718,212.3333282,152.6666718,160.3333282,112,168.3333282,832,1018.666687,962.333313,431.6666565,251,319.6666565,237.3333282,255.6666718,237.6666718,226.6666718,219,222.3333282,244,255.6666718,535.666687,542.333313,506,221.6666718,193.6666718,220.3333282,231.6666718,177.6666718,140.6666718,96.33333588,103.6666641,127.6666641,182,255.3333282,259.6666565,423.6666565,349.6666565,298.6666565,89.33333588,157.3333282,247,281.6666565,244.3333282,198,289.3333435,295,268.6666565,220,306.3333435,307.6666565,304.6666565,254,287,280.5
Costa Rica,CRI,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/cr/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,.6666666865,.6666666865,0,0,0,.3333333433,.3333333433,.3333333433,.3333333433,.3333333433,.3333333433,.6666666865,2.333333254,3,3.333333254,2.333333254,3.666666746,4.333333492,4,6,6.666666508,8.666666985,6.666666508,5.666666508,3.666666746,4,7.333333492,10,12.66666698,12,17.66666603,22.66666603,24,22,20.66666603,22.66666603,23.66666603,21.33333397,19.66666603,17,16.33333397,16.33333397,16,14.66666698,13.66666698,14,15.33333302,16,17.33333397,18.66666603,18.66666603,13.33333302,8.666666985,6,7.333333492,8,10,11,8.666666985,5.666666508,5.666666508,7.666666508,8.333333015,9.333333015,9.333333015,9,6.333333492,6,6.333333492,6.333333492,7.666666508,7.666666508,8,5.333333492,3.666666746,4.333333492,5.333333492,5.666666508,5.666666508,5.333333492,6,3.333333254,4.666666508,7,10,13.33333302,17,49,55.33333206,62.66666794,38.33333206,31.66666603,20.33333397,38.33333206,59.33333206,61.33333206,50.33333206,38.33333206,46.33333206,38,37,50,65,76.5
Colombia,COL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/co/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,.6666666865,.6666666865,1.666666627,1.666666627,1.666666627,1.333333373,.6666666865,.6666666865,1.666666627,7,9.666666985,13.33333302,8,15.33333302,11,11,5,11.66666698,28.66666603,32.33333206,30.33333397,32,40.66666794,46.66666794,60.66666794,77,93.33333588,60.66666794,53.66666794,56.66666794,56.66666794,53,41,66.33333588,65.66666412,68.66666412,69,67,92.66666412,76.33333588,94.33333588,85,94.33333588,85.33333588,115.6666641,142,164.3333282,137,140.3333282,135,133.6666718,134,142.6666718,177.6666718,163,151.3333282,131,147.6666718,154.3333282,168.3333282,176,175,154,195,230,264.3333435,365,289,392,274.6666565,300,565.666687,918,1379.666626,1311.666626,1327,833,698.333313,929.666687,929.666687,717.333313,302.3333435,454.6666565,727.666687,698,720.666687,412.3333435,313.3333435,458.6666565,913.333313,1211.666626,2017,2099.333252,2160.666748,1035,901.666687,964.333313,1494,2205.333252,1645,1674,1266,1712,1730
Chile,CHL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/cl/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2.666666746,.6666666865,3.666666746,4.666666508,4.666666508,8.666666985,13,17.66666603,37.66666794,31.66666603,53,59.66666794,90.33333588,98,94.33333588,100.3333359,123.3333359,165.6666718,182,224.3333282,249.6666718,261.6666565,265.3333435,260.6666565,292.6666565,310.6666565,325,366,346.3333435,351.6666565,311.3333435,349.3333435,376,452.6666565,453.3333435,406.6666565,333.3333435,321.3333435,344.3333435,417.6666565,436,505,487,465.6666565,379.3333435,382.6666565,416.3333435,483.3333435,492.6666565,482.6666565,481.6666565,486,584.333313,683.333313,829.666687,1049.666626,1186,1183.666626,1164.333374,1097,1275.666626,1278.333374,1347.333374,1385.333374,1320,1456.333374,1797.333374,2271,2561,2297,2204,2116,15247.33301,16007,16895,4395,4356.333496,4173,4296.666504,4514.666504,4543.333496,4732,4665.666504,5172,5753.333496,5811.333496,6312,12742.33301,12549.66699,11753,4892.666504,4709.333496,4635.333496,4653.666504,4841.333496,4643.333496,4287,4320.666504,4294.333496,4241,4391.333496,4411,4364.333496,4009
Brazil,BRA,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/br/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.6666666865,.6666666865,.3333333433,0,0,0,0,0,0,1.333333373,1.333333373,1.333333373,0,38,40.33333206,40.33333206,2.333333254,0,0,0,0,0,0,15.33333302,15.33333302,15.33333302,0,0,957.666687,4617.666504,4617.666504,3660,0,2701.333252,2701.333252,2988.333252,1062.666626,1481,1554.666626,1280.666626,1193,1162.333374,1128,1326.666626,1597.666626,1831.666626,2268.333252,2352,2592,2428,2793,3178.333252,3692,3438.333252,3202.333252,2695.666748,3637.333252,4489,4031.666748,4124.333496,3749.333252,4881,5163,5707.333496,7520.333496,8500.333008,9545.333008,8634.666992,7983.666504,6134.333496,5335.333496,5578.666504,7923.666504,10294.33301,11415,9650.333008,7201.333496,7582,10687.33301,14627.66699,14434,12844,9663,37105.66797,39862.66797,43321.33203,17236,16128.66699,15173.33301,13058.66699,10862,10189.66699,17301.66602,18957,20542,18577.66602,17846,16701.66602,17061.33398,24117,25929.33398,24812,22415.33398,22164.66602,18470.66602,20201,23874.66602,66627,84687
Bolivia,BOL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/bo/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,1.333333373,1.666666627,4,6.666666508,8,5.666666508,1.666666627,2,4.333333492,4.333333492,5.666666508,3.333333254,12,14.66666698,18.66666603,12.33333302,11.33333302,8,14,11.33333302,13.33333302,9.333333015,10.66666698,15,16.66666603,20,18,20.66666603,18.33333397,22,19,40.33333206,44.66666794,45.66666794,23,20,20,19.33333397,14,18.66666603,22.66666603,24,22.66666603,20,30.33333397,24,66.66666412,76.66666412,129.3333282,136.3333282,179.6666718,173.6666718,147,131.6666718,142.6666718,140,96,58.33333206,71,80.33333588,169,247,333,328,296.3333435,190.6666718,306,361.3333435,484,395.6666565,404.6666565,447,493.6666565,478.6666565,454.3333435,393,397.3333435,394,415.6666565,476.6666565,509
Belize,BLZ,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/bz/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,.6666666865,.6666666865,0,1,1,1,0,.3333333433,1.333333373,1.333333373,1,1.333333373,1.333333373,1.333333373,.3333333433,1,1,.6666666865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0
Barbados,BRB,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/bb/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,.6666666865,1.666666627,1.666666627,1,0,.6666666865,.6666666865,1.333333373,.6666666865,.6666666865,.6666666865,.6666666865,1.333333373,2.666666746,2.666666746,3.666666746,2,2,3,2.666666746,2.666666746,0,0,0,1.666666627,1.666666627,2.333333254,1,1,2.333333254,2,3.333333254,1.333333373,1.333333373,0,2.666666746,2.666666746,2.666666746,.6666666865,1,1,.3333333433,.6666666865,.6666666865,.6666666865,0,0,.3333333433,.3333333433,2,1.666666627,1.666666627,0,0,0,0,1.666666627,1.666666627,1.666666627,0,0,0,0,.6666666865,.6666666865,.6666666865,0,0,0,0,.6666666865,.6666666865,.6666666865,0,0,0,0,0,0,1.666666627,1.666666627,1.666666627,0,0,0,0,0
Bahamas,BHS,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/bs/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,-.3333333433,-.3333333433,1,1.666666627,1.666666627,.3333333433,0,0,0,.3333333433,.3333333433,.3333333433,0,0,1.333333373,1.333333373,1.666666627,.6666666865,.6666666865,1,1,1,2.666666746,2.333333254,2.666666746,.3333333433,1,.3333333433,.3333333433,-.3333333433,.3333333433,.6666666865,.6666666865,.3333333433,1.666666627,3.666666746,3.666666746,2.666666746,.6666666865,1.333333373,.6666666865,.6666666865,.3333333433,.3333333433,.6666666865,.3333333433,.3333333433,.3333333433,.3333333433,.6666666865,.3333333433,.6666666865,.3333333433,.3333333433,.3333333433,.6666666865,.6666666865,.3333333433,.3333333433,.3333333433,2.333333254,2,2,2.333333254,2.333333254,3,.6666666865,1.666666627,1.333333373,1.333333373,.3333333433,0,0,1.333333373,1.333333373,2,.6666666865,.6666666865,1,1,3,2,2.333333254,.3333333433,1.333333373,1,1,0,.6666666865,.6666666865,1
Argentina,ARG,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ar/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,.6666666865,.6666666865,.6666666865,0,0,0,0,16.33333397,16.33333397,20,6.666666508,6.666666508,3,52,56,58.66666794,9.333333015,8.666666985,10.33333302,8,19.66666603,19.66666603,26,13.33333302,12.33333302,27.33333397,34.33333206,46.66666794,39.66666794,42.66666794,38.66666794,35.66666794,29.66666603,26,23.66666603,51.66666794,54.33333206,60.66666794,45.33333206,52.66666794,62.66666794,54.66666794,44,28.33333397,38.66666794,43.33333206,42.66666794,32.66666794,50,50.66666794,56.66666794,53,62.33333206,68,52,59.33333206,44.66666794,169.6666718,182.6666718,211.6666718,89.33333588,61.33333206,42.66666794,112.6666641,121.3333359,135.6666718,63.33333206,199,233.3333282,312.3333435,212.3333282,205.6666718,206,207,146.3333282,239.6666718,244.3333282,307,186.6666718,157.3333282,126.3333359,94.66666412,305.3333435,405.6666565,462.6666565,360.6666565,342.3333435,391.6666565,364,410.6666565,382.6666565,363.6666565,316,276.6666565,559,564.666687,669,434,456.6666565,362.6666565,545,1613.333374,1775.666626,1782,907.333313,961.666687,968.666687,1016,1079
