Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020
Jamaica,JAM,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/jm/flat/64.png,2934855,2.934854984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0486760475,.0973520949,.3894083798,.3894083798,.4867604971,.4867604971,.5841125846,.5841125846,.6327885985,.3894083798,.3894083798,.4380844235,.4380844235,.4380844235,.6327885985,.535436511,.4867604971,.6814646721,.6327885985,.8274928331,.7301407456,.8761688471,1.022197008,1.022197008,1.119549155,1.265577197,1.070873022,1.31425333,.9248449206,.7788167596,.7788167596,.5841125846,.535436511,.7301407456,.4867604971,3.01791501,3.894083977,3.894083977,4.770252705,5.062308788,7.301407337,7.301407337,5.257013321,5.549069405,7.058026791,6.911998749,8.615660667,6.863322735,6.863322735,7.934195995,8.031547546,7.009350777,7.690815449,5.792449951,5.208337307,5.305689335,3.991436005,3.212619066,2.823210716,1.31425333,1.606309533,1.654985666
Haiti,HTI,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/ht/flat/64.png,11123176,11.12317562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0256863944,.0256863944,.0256863944,.077059187,.0899023861,.1027455777,.1027455777,.077059187,.077059187,.1669615656,.1155887768,.1027455777,.1027455777,.1027455777,.1284319758,.154118374,.077059187,.1155887768,.1284319758,.1412751675,.1798047721,.1669615656,.1669615656,.154118374,.2054911554,.1926479638,.1798047721,.1412751675,.154118374,.1412751675,.1798047721,.2183343619,.2183343619,.2697071433,.3981391191,.3724527359,.3596095443,.3467663229,.2440207601,.2440207601,.1798047721,.1155887768,.1669615656,.1669615656,.1798047721,.308236748,.3210799396,.3210799396,.616473496,.7834350467,.8476510644,1.207260609,1.399908543
Honduras,HND,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/hn/flat/64.png,9587522,9.587521553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0298006404,.0298006404,.0298006404,.0298006404,.0447009616,.0894019231,.1192025617,.1043022424,.1490032077,.327807039,.327807039,.3427073658,.3576076925,.327807039,.4023086429,.5960128307,.655614078,1.057922721,1.251626968,1.624134898,1.653935552,2.026443481,2.488353491,2.294649363,2.518154144,2.354250669,2.369150877,2.44365263,2.086044788,1.84763968,2.384051323,1.907240987,1.862540007,1.47513175,1.51983273,1.594334245,1.236726642,.8940192461,.9685208201,1.177125335,1.192025661,1.296327829,1.355929136,1.38572979,2.220147848,2.533054352,2.30954957,2.741658926,3.099266529,3.397273064,3.754880667,3.173768282,5.706822872,6.377336979,7.703465462,8.463381767,10.77293205,13.61889267,14.40860939,12.21826267,13.66359425,13.73809528
Guatemala,GTM,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/gt/flat/64.png,17247807,17.24780655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.008282627,.008282627,.016565254,.04969576,.04969576,.07454364,.09939152,.1325220317,.14908728,.14908728,.1242394,.14908728,.1325220317,.1325220317,.1408046484,.1242394,.1325220317,.1408046484,.1242394,.1822177917,.1822177917,.2236309201,.2236309201,.2816092968,.323022455,.3975660801,.3975660801,.6294796467,.6294796467,.7785668969,.7123059034,.74543643,.7702842951,.8365452886,.7288711667,.8116974235,.84482795,1.101589322,1.051893592,1.126437187,1.557133794,1.78904736,1.971265197,2.012678385,1.996113062,1.954699874,1.996113062,1.780764699,1.772482157,1.780764699,1.681373239,1.656525373,1.929852009,1.996113062,1.929852009,2.120352507,2.310852766,2.890636683,3.180528641
Ecuador,ECU,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ec/flat/64.png,17084357,17.08435631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0501712114,.0501712114,.0585330799,.0836186856,.1087042913,.1087042913,.1087042913,.0668949485,.075256817,.0668949485,.0585330799,.0334474742,.0334474742,.1254280359,.1170661598,.1839611083,.3595603406,.7860156298,1.521860123,2.9266541,3.996973276,6.363381863,7.893603802,8.562553406,8.880304337,10.0676899,10.26837444,11.01258087,9.490720749,8.202993393,9.68304348,13.16994286,14.71688843,14.82559299,13.73018837,14.3991375,14.92593575,12.60133648,14.23190022,15.06808758,31.71656799,31.70820618,31.94233894,31.62458801,32.24336624,28.4972477,27.25969124,10.77844906,14.75869846,16.74046135,21.73249626,23.37142372,25.01871109,24.73440742,119.315506,114.5325165,110.8031235,109.6408234,115.8955002,115.6028366,114.9840546,30.24487877,39.6770668,57.01958084,72.2549057,63.74252319,60.25562668,44.85306168,20.75415802,13.43752289,.1755992472,-19.83435249
Dominican Republic,DOM,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/do/flat/64.png,10627165,10.62716484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0134426393,.0134426393,.0134426393,.0134426393,.0134426393,.0268852785,.0268852785,.053770557,.053770557,.053770557,.053770557,.053770557,.0403279178,.1209837496,.0806558356,.0806558356,.2150822282,.2150822282,.3898365498,.9006568193,1.357706547,2.567543983,3.145577669,3.911808014,4.987219334,6.102958202,6.842303276,8.159682274,8.831813812,8.818371773,10.71378326,11.99083424,11.99083424,12.19247341,10.33738995,11.91017818,12.4613266,11.38591576,11.11706257,13.02591705,15.21706772,17.08559418,16.42690468,17.99969482,17.87870979,20.20428658,18.90035057,20.24461555,21.18560028,23.02724075,24.15642357,23.63216019,22.66428947,24.03543854,21.81740379,21.38723946,19.55904007,17.8652668,18.44330025,18.17444801,19.20953178,20.68822098,22.20723915,24.45215988,26.10560608,27.74560738,28.96888733,28.53872299,28.06823158,30.9718399,32.16823578,32.24888992
Costa Rica,CRI,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/cr/flat/64.png,4999441,4.999441147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0285746232,.0285746232,.1428731084,.2571716011,.2571716011,.3714700937,.628641665,.628641665,.7143655419,.628641665,.7429401875,.9143879414,1.05726099,1.343007207,1.885925055,2.600290537,3.057484627,3.514678478,3.886148691,4.314767838,4.629088879,4.971984386,5.08628273,5.14343214,4.914834976,4.857685566,4.971984386,4.714812756,4.371917248,4.000447273,4.000447273,3.914723158,3.886148691,3.62897706,4.08617115,4.057596207,4.057596207,4.02902174,4.143320084,3.857573986,3.543253183,2.943186045,2.600290537,2.228820562,1.857350469,1.428731084,1.457305789,1.571604252,1.25728333,1.085835695,1.085835695,1.000111818,1.000111818,1.028686404,.9143879414,.9429625273,1.085835695,1.142984867,1.25728333,1.285858035,1.428731084,1.371581912,1.314432621,1.371581912,1.343007207,1.514454961,1.685902715
Colombia,COL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/co/flat/64.png,49648685,49.64868546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00287736,.00287736,.00287736,.00287736,.0086320797,.02589624,.02589624,.0345283188,.0604245588,.0949528813,.1525000781,.1783963144,.2416982353,.2675944865,.3308964074,.5006606579,.5668399334,.6416512728,.9006136656,1.084764719,1.119293094,1.182595015,1.185472369,1.35523653,1.499104619,1.519246101,1.712029219,1.927831173,2.094718218,2.29613328,2.252972841,2.247218132,2.514812708,2.845709085,3.05575633,3.470096111,3.749200106,3.71467185,3.662879229,3.449954748,3.02410531,2.906133652,2.77952981,2.100472927,2.923397779,3.237030029,3.366511345,3.599577427,3.82113409,4.149153233,4.9001441,4.566370487,4.661323071,5.179247856,5.325993538,5.599342823,6.114389896,6.166182518,6.586277008,6.836607456,7.665287018,7.918494701,8.485334396,8.761561394,9.236325264,9.768637657,10.47359085
Chile,CHL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/cl/flat/64.png,18729160,18.72916031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0076275254,.0076275254,.0305101015,.0305101015,.0305101015,.0610202029,.0610202029,.0915303007,.1678055525,.1449229866,.2974734902,.434768945,.5034166574,1.121246219,1.433974743,1.63991797,1.63991797,2.98236227,3.630702019,4.256159306,4.507867336,5.499445915,6.895282745,8.146197319,8.969969749,10.46496487,11.4946804,12.98967552,13.85158539,14.40839481,16.00254822,16.22374535,17.17718697,17.78738976,18.04672432,18.13825417,19.18322563,19.58748436,21.08247948,21.09773445,20.91467476,20.67059326,21.36469841,20.80026054,21.62403488,20.98332214,21.37995338,21.92913437,22.74527931,22.23423576,23.05800819,22.92071342,23.2944622,23.85889816,24.73606491,25.21659851,26.94804573,27.37518883,32.11951065,35.86462402,42.53870773,48.29748917,52.09599686,58.35819626,62.26348877,65.27635956,68.37313843,67.00018311,70.19611359,71.85128784
Barbados,BRB,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/bb/flat/64.png,286641,.2866410017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.9967669845,.9967669845,2.491917372,2.491917372,2.990300894,6.977368832,8.472518921,7.974135876,7.974135876,6.47898531,9.469285965,9.967669487,9.469285965,7.974135876,7.974135876,7.974135876,13.95473766,13.45635414,12.95797062,11.46282005,13.45635414,14.45312119,14.45312119,9.967669487,7.974135876,7.974135876,7.475752354,5.980601788,4.485451221,4.983834743,4.485451221,3.987067938,3.488684416,1.993533969,1.495150447,1.495150447,.9967669845,.4983834922,.9967669845,1.993533969,1.993533969,2.491917372,2.491917372,2.491917372,2.491917372,1.993533969,.9967669845,1.495150447,.9967669845,.9967669845,.9967669845,.4983834922,.9967669845,1.495150447,.9967669845,.9967669845
