Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020
Serbia,SRB,Europe,Southern Europe,,.,.,.,Europe,https://www.countryflags.io/rs/flat/64.png,6982604,6.982604027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0477376841,.0477376841,.0477376841,0,.1909507364,.5251144767,.8592782617,1.432130456,1.623081207,1.384392738,.9547536373,.9070159793,1.670818925,2.291408777,3.34163785,4.200915813,5.680784225,5.442095757,6.301373959,7.733504772,6.444587231,7.351603031,13.12786293,17.04235268,15.65795994,11.50478172,15.22832108,18.42674446,27.49690437,26.92405319,35.18267059,34.56208038,39.28811264,36.18516159,31.84103394,31.41139412,34.08470535,36.42385101,45.30306244,51.79538727,59.33794022,60.34043121,58.47866058,53.51394272,47.73768234,44.87342072,30.361166,14.89415646,0,0,0,0,0
Somalia,SOM,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/so/flat/64.png,15008154,15.00815392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0222101491,.0222101491,.0222101491,0,0,0,0,0,0,0,.0222101491,.0444202982,.0444202982,.0222101491,0,.0444202982,.0444202982,.0444202982,.0444202982,.0444202982,.0444202982,0,.0222101491,.1110507473,.1110507473,.2887319326,.1998913437,.2887319326,.8661957979,.8661957979,1.221558213,.4442029893,1.243768334,1.221558213,1.865652561,2.687427998,3.353732586,2.709638119,2.021123648,.9328262806,2.309855461,2.398696184,3.598044157
El Salvador,SLV,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/sv/flat/64.png,6420744,6.420743942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0519150645,.0519150645,.1557451934,.1038301289,.1038301289,.1038301289,.3114903867,.5191506147,.4153205156,.5191506147,.5710657239,.8825560808,.674895823,.4153205156,.5710657239,.7268108726,1.245961547,1.090216398,1.194046497,1.142131448,1.609367013,1.765112162,2.024687529,1.297876596,1.142131448,1.038301229,1.609367013,1.765112162,1.401706696,1.453621745,1.609367013,1.92085743,2.128517628,1.817027211,1.868942261,1.661282063,2.543838024,1.92085743,2.491923094,1.868942261
Sierra Leone,SLE,Africa,Sub-Saharan Africa,Western Africa,.,.,.,Africa,https://www.countryflags.io/sl/flat/64.png,7650154,7.650154114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0435721055,.0871442109,.0871442109,.0435721055,.0871442109,.1742884219,.1742884219,.0871442109,.0435721055,.0435721055,.0871442109,.0435721055,.1307163239,.0871442109,.1307163239,.1307163239,.2178605348,.6535816193,.7407258153,.8714421391,.7407258153,.8714421391,1.132874727,.915014267,1.394307375,.915014267,1.263591051,.7189397812
Singapore,SGP,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/sg/flat/64.png,5638676,5.638676167,.2660198808,.1773465872,.1773465872,.1182310581,.2364621162,.1773465872,.2955776453,.3546931744,.5320397615,.4729242325,.2955776453,.4729242325,.5911552906,.5911552906,.3546931744,.2955776453,.7093863487,.8867329359,.8276174068,.5911552906,.7685018778,1.182310581,1.300541639,1.004963994,.5911552906,.5320397615,.5320397615,.4138087034,.2364621162,.0591155291,.2955776453,.2364621162,.3546931744,.2364621162,.2364621162,.1182310581,.5320397615,.7685018778,.8867329359,.4729242325,.2364621162,.5320397615,1.182310581,1.655234814,1.950812459,1.182310581,1.300541639,1.655234814,1.655234814,2.364621162,2.009927988,2.837545395,2.541967869,3.192238569,5.143051147,6.029784203,7.034748077,7.034748077,6.502708435,7.330325603,7.4485569,10.40433311,10.28610229,10.28610229,10.10875607,9.51760006,8.689983368,7.330325603,9.22202301,10.04964066,11.11371994,11.17283535,15.37003803,15.42915344,17.26173401,18.56227684,31.62680817,37.06543732,39.96209717,36.76985931,47.88357925,56.33710098,68.98782349,89.20533752,106.2897263,135.5519104,127.7486649,175.2184296,185.2089539,210.0374756,187.0415344,174.3908081,150.8628387,144.5965881,137.3549347
Senegal,SEN,Africa,Sub-Saharan Africa,Western Africa,.,.,.,Africa,https://www.countryflags.io/sn/flat/64.png,15854360,15.85435963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0210247114,.0420494229,.0840988457,.0630741343,.0420494229,0,0,0,0,0,0,.1261482686,.1261482686,.4204942286,.2943459451,.3363953829,.1471729726,.1471729726,.2522965372,.3363953829,.7568895817,.8620131612,.8199637532,.6727907658,.5466424823,.6938154697,.6517660618,.7779143453,.9040625691,.9461119771,1.009186149,.6938154697,.6727907658,.6097166538,.5676671863,.3994695246,.3784447908,.4625436366,.5045930743,.5886918902,.7148401737,.6307413578,.5466424823,.4415189326,.7148401737,.9250872731,.9040625691,.7568895817,.6727907658,.7358648777,1.303532124,1.576853395,2.144520521,2.796286583,3.616250277,4.036744595,3.973670483
Sudan,SDN,Africa,Northern Africa,,.,.,.,Africa,https://www.countryflags.io/sd/flat/64.png,41801533,41.80153275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0079741897,.0079741897,.0079741897,0,0,.0079741897,.0079741897,.0079741897,0,0,0,.0079741897,.0079741897,.0079741897,0,.0159483794,.0239225682,.0239225682,.0159483794,.0079741897,.0159483794,.0239225682,.0239225682,.0318967588,.0159483794,.0318967588,.0159483794,.0239225682,.0239225682,.0398709476,.0318967588,.0956902727,.1036644578,.1036644578,.0239225682,.0079741897,.2711224258,.2711224258,.5900899768,.3269417584,.5900899768,.5342707038,.5342707038,.582115829,.5023739338,.7535609007
Saudi Arabia,SAU,Asia,Western Asia,,.,.,.,Asia,https://www.countryflags.io/sa/flat/64.png,33699947,33.69994736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.009891212,.009891212,.009891212,.0395648479,.0395648479,.0395648479,.0593472719,.0989121199,.1483681798,.0989121199,.2967363596,.6528199911,.8110793829,.5736902952,.3165187836,.6726024151,.6726024151,1.54302907,1.711179733,2.185957909,2.3442173,2.156284332,3.709204674,3.847681522,4.451045513,3.333338499,2.997037411,2.838778019,3.452033043,3.560836315,4.164200306,4.273003578,4.708217144,4.540066242,5.113756657,5.598426342,6.092986584,5.242342472,6.745806694,8.466877937,10.89022446,11.62217426,12.69042492,13.21465969,13.84769726,14.30269337,17.53711891,23.85760498,29.49559593,33.05643082,33.20479965,33.72903442,34.08511734,34.33239746,34.88630676,35.52923584,35.90510178
Rwanda,RWA,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/rw/flat/64.png,12301939,12.30193901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0270959996,.0270959996,.1354800016,.16257599,.1896719933,.081287995,.2709600031,.2438639998,.2980560064,.5148239732,.6232079864,.5961120129,.3793439865,.3793439865,.5148239732,.5419200063,.4335359931,.4064399898,.3251519799,.3793439865,.3793439865,.5419200063,.5419200063,.4335359931,.081287995,.16257599,.1354800016,.3522479832,.2709600031,.4335359931,.2438639998,.3793439865,.2709600031,.2980560064,.2438639998,.2167679965,.2438639998,.1083839983,.16257599,.16257599,.1896719933,.7044959664,.8128799796,1.002552032,.6096599698
Russia,RUS,Europe,Eastern Europe,,.,.,.,Europe,https://www.countryflags.io/ru/flat/64.png,144478050,144.4780426,0,0,0,0,0,0,0,.0046143113,.0046143113,.0046143113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0023071556,.0023071556,.0023071556,.0023071556,.0230715573,.0230715573,.0299930237,.0092286225,.016150089,.0069214669,.0253787115,.0576788932,.0899790674,.0807504505,.1038220078,.1268935651,.1938010752,.2514799535,.3206946254,.3668377399,.3876021504,.4268237948,.4360524118,.671382308,.9274765849,1.24817121,1.398136377,1.60116601,1.845724583,2.47557807,2.867794514,3.949850559,4.180565834,4.508182049,4.247473717,5.061899662,6.381592751,7.574391842,8.739505768,10.19762802,11.33274841,13.01005077,14.79117489,17.34519577,20.11839676,22.17176628,25.16184044,28.38493538,34.41122818,34.86804199,36.84527588,34.94417953,36.11159897,36.58917999,38.27340698,41.93486023,42.66046143
