Iso3,Country,image,idb,02Dec20,03Dec20,04Dec20,05Dec20,06Dec20,07Dec20,08Dec20,09Dec20,10Dec20,11Dec20,12Dec20,13Dec20,14Dec20,15Dec20,16Dec20,17Dec20,18Dec20,19Dec20,20Dec20,21Dec20,22Dec20,23Dec20,24Dec20,25Dec20,26Dec20,27Dec20,28Dec20,29Dec20,30Dec20,31Dec20,01Jan21,02Jan21,03Jan21,04Jan21,05Jan21,06Jan21,07Jan21,08Jan21,09Jan21,10Jan21,11Jan21,12Jan21,13Jan21,14Jan21,15Jan21,16Jan21,17Jan21,18Jan21,19Jan21,20Jan21,21Jan21,22Jan21,23Jan21,24Jan21,25Jan21,26Jan21,27Jan21,28Jan21,29Jan21,30Jan21,31Jan21,01Feb21,02Feb21,03Feb21,04Feb21,05Feb21,06Feb21,07Feb21,08Feb21,09Feb21,10Feb21,11Feb21,12Feb21,13Feb21,14Feb21,15Feb21,16Feb21,17Feb21,18Feb21,19Feb21,20Feb21,21Feb21,22Feb21,23Feb21,24Feb21,25Feb21,26Feb21,27Feb21,28Feb21,01Mar21,02Mar21,03Mar21,04Mar21,05Mar21,06Mar21,07Mar21,08Mar21,09Mar21,10Mar21,11Mar21,12Mar21,13Mar21,14Mar21,15Mar21,16Mar21,17Mar21,18Mar21,19Mar21,20Mar21,21Mar21,22Mar21,23Mar21,24Mar21,25Mar21,26Mar21,27Mar21,28Mar21,29Mar21,30Mar21,31Mar21,01Apr21,02Apr21,03Apr21,04Apr21,05Apr21,06Apr21,07Apr21,08Apr21,09Apr21,10Apr21,11Apr21,12Apr21,13Apr21,14Apr21,15Apr21,16Apr21,17Apr21,18Apr21,19Apr21,20Apr21,21Apr21,22Apr21,23Apr21,24Apr21,25Apr21,26Apr21,27Apr21,28Apr21,29Apr21,30Apr21,01May21,02May21,03May21,04May21,05May21,06May21,07May21,08May21,09May21,10May21,11May21,12May21,13May21,14May21,15May21,16May21,17May21,18May21,19May21,20May21,21May21,22May21,23May21,24May21,25May21,26May21,27May21,28May21,29May21,30May21,31May21,01Jul21,01Jun21,02Jul21,02Jun21,03Jul21,03Jun21,04Jul21,04Jun21,05Jul21,05Jun21,06Jul21,06Jun21,07Jul21,07Jun21,08Jul21,08Jun21,09Jun21,10Jun21,11Jun21,12Jun21,13Jun21,14Jun21,15Jun21,16Jun21,17Jun21,18Jun21,19Jun21,20Jun21,21Jun21,22Jun21,23Jun21,24Jun21,25Jun21,26Jun21,27Jun21,28Jun21,29Jun21,30Jun21
USA,United States,https://www.countryflags.io/us/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.0385742,661.6309814,721.4384766,781.2459106,853.3416138,925.4373169,997.53302,1031.411133,1065.289307,1038.827393,1098.563599,1157.844849,1285.427246,1411.938477,1673.268066,1934.597656,1963.724121,2174.058838,2286.839355,2444.865479,2484.544434,2524.223389,2563.902344,2790.106201,2731.670898,2797.510986,2986.156006,3236.692139,3435.030518,3447.487305,3425.469238,3554.009277,3781.380371,3837.963135,3953.062012,4055.708008,4149.076172,4040.5,4034.270264,3939.994141,3906.98877,4136.789551,4411.222168,4458.264648,4558.891602,4762.837402,4891.769531,5068.77832,5074.276855,5104.667969,5087.755371,5253.676758,5034.018555,4962.145508,4886.489258,4656.094727,4463.102051,4427.609863,4290.56543,4452.975586,4607.439453,4752.913086,5036.12793,5311.046875,5563.42627,5946.931641,6155.085938,6252.69043,6364.330078,6605.763672,6609.963379,6642.374512,6586.021484,6638.41748,6835.297852,7049.074219,7779.902344,7306.46875,7430.433594,7453.719238,7572.259277,7663.993164,7515.182617,6882.066895,7618.087402,7621.03418,7643.46582,7624.685547,7685.495605,8033.395996,8194.479492,8300.321289,8441.049805,8477.00293,8658.094727,8888.402344,9148.880859,9405.09375,9441.549805,9347.053711,9178.59668,9272.016602,9291.671875,9284.241211,9523.862305,9617.485352,9840.880859,10359.70605,10195.49316,10248.90527,10252.32422,9797.131836,9777.663086,9571.954102,9229.203125,9253.085938,9021.553711,8762.986328,8644.585938,8419.839844,8390.344727,8317.004883,8171.856934,8051.753418,7800.135254,7793.822266,7403.344727,7001.775879,6717.375977,6527.603516,6390.230469,6393.027832,6071.216797,6176.947266,6480.276855,6718.308594,6609.209961,6394.374023,5973.088379,5896.914063,5775.909668,5602.785645,5423.551758,5513.932129,5597.644531,5753.285645,5732.381348,5595.200684,5456.94043,5358.403809,5213.427246,4953.338867,4593.479492,4269.623047,4026.680664,3837.500732,3264.412354,3767.41333,3327.815918,3367.38916,3431.609863,3059.42041,3182.125732,3070.100342,2840.166748,2870.230957,2650.632813,2934.096191,2243.27002,3142.090576,1833.772095,3288.169434,3428.608154,3483.753174,3231.254395,3430.101074,3360.121094,3408.197998,3482.142578,3569.026367,4058.823242,4171.299805,3937.825684,3779.874023,3467.977295,3208.470215,3042.174561,2500.344482,2252.306641,2188.769775,2344.276123,2552.867676,2592.693115,2907.747314
KOR,"Korea, South",https://www.countryflags.io/kr/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625.2047729,769.2560425,814.7734375,818.5216064,910.8560791,995.2015381,958.3873291,886.9956055,795.2410889,756.3479614,753.2060547,605.6917725,483.8608398,389.4737549,313.3539429,254.0315704,246.4135132,244.2709198,219.4983673,230.8008881,261.5499878,309.5089417,337.94104,338.2455444,337.7140503,407.3562622,429.8367615,425.5571289,450.2189941,505.0015259,526.7623291,528.4370728,550.7653198,587.1144409,633.0166626,641.8831787,629.8913574,631.3668213,630.2401733,632.0837402,628.8006592,631.8595581,759.6531982,930.2901611,984.4470825,997.1281738,1229.567871,1473.708618,1710.497192,1867.080078,2078.118896,2192.655518,2197.441895,2315.32251,2499.808838,2804.528809,3155.845703,3488.31958,3504.851318,3492.242188,3314.806396,3026.064453,2508.852539,2079.101563,1611.584106,1508.468872,1516.001099,1502.129761,1481.714233,1591.437134,1494.484009,1384.262817,1364.531128,1365.129028,1409.002075,1594.116699,1592.873779,1964.747437,2376.375,2399.868652,2394.739258,2574.079346,2626.054932,2794.527344,4157.70459,5183.677246,5553.580078,5558.523926,6221.199219,2138.789307,7387.007324,1972.465088,8080.51709,2022.873901,7130.597656,2025.213013,6547.275879,1950.452515,6456.423828,1867.738892,6453.29541,1800.743042,7731.046875,1856.79895,8224.532227,8805.420898,10708.03418,12535.08594,13618.81445,13719.00391,14041.24609,12041.9873,12071.31934,10786.59473,9608.707031,8429.422852,8615.700195,6251.134277,6614.462402,5353.367676,4145.718262,2886.807861,2678.063965,2383.345459,2351.148438,2302.696777,2244.736328
ITA,Italy,https://www.countryflags.io/it/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.2131653,434.9686584,619.7696533,761.324585,917.8481445,1116.322021,1229.935303,1288.677124,1317.290283,1323.643311,1393.452515,1397.315918,1383.936157,1332.547363,1278.456177,1190.966431,1075.151978,925.4140015,789.5618286,641.6089478,581.0134888,573.4334106,633.3030396,745.2139893,839.3569946,975.8688354,1143.96106,1264.882568,1325.626953,1364.510742,1382.281128,1450.617432,1484.197998,1505.420288,1474.922729,1432.738281,1387.458984,1336.843384,1272.008667,1192.030396,1112.335815,1052.527588,1023.630798,1012.646057,1021.767639,1038.913818,1073.461426,1116.891846,1176.548706,1225.658203,1326.000488,1408.146851,1505.247681,1595.319336,1701.291016,1814.561523,1878.682251,1949.106201,2079.392822,2232.128662,2395.236816,2553.767822,2672.896973,2729.12793,2835.023926,2910.410889,2975.330566,3033.306396,3045.442627,3042.607666,3049.899414,3034.793701,2909.401123,2794.676758,2656.334961,2574.48877,2572.869141,2630.447754,2679.115234,2876.686035,3086.913086,3332.763428,3552.003174,3701.202148,3776.652588,3885.357666,3984.489258,4098.48584,4139.378906,4166.38916,4143.062988,3987.811279,3821.782959,3860.205811,3905.643555,4015.291748,4135.854004,4346.227539,4591.978516,4815.320313,4823.229004,4812.100098,4851.210938,4956.551758,5046.469727,5139.801758,5239.973633,5343.193359,5464.54248,5573.008789,5628.731445,5691.322266,5748.383301,5825.202637,5917.416504,5998.806152,6299.431152,6585.241211,6693.520508,6931.949219,7088.366211,7261.412109,7429.917969,7406.222656,7447.88916,7631.853516,7662.5,7733.44873,7750.819336,7752.209473,7771.438477,7787.650879,7856.739258,7922.744141,7987.571777,8024.571289,8038.522949,8102.333984,8147.525879,8098.187012,8095.46582,8087.083984,8108.186035,8201.896484,8291.378906,8344.893555,8355.658203,8340.847656,8374.1875,8997.574219,8352.249023,8849.226563,8086.890137,8782.739258,8102.062012,8739.233398,8193.481445,8689.3125,8412.825195,8611.12207,8670.46875,8543.665039,8883.788086,8549.325195,9145.40918,9564.503906,9643.668945,9618.351563,9488.485352,9306.311523,9219.010742,9101.063477,9019.063477,8957.964844,8929.018555,8921.34082,8930.585938,8989.433594,9082.537109,9107.916016,9121.023438,9139.125,9128.485352,9111.894531,9111.762695,9092.303711,9100.552734
ISR,Israel,https://www.countryflags.io/il/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4568.234375,6128.183594,7895.981934,9686.472656,11132.23633,12496.76758,13024.01465,13652.08203,14376.30664,14650.23926,14150.2041,13351.67773,12670.63477,12591.25195,12154.62988,10451.83594,8657.228516,7606.867676,7697.846191,7846.287109,7849.487793,8024.255371,9780.265625,12184.41406,14605.77148,16394.12305,18138.76367,18816.47656,19427.28906,20336.99219,20822.13477,20732.78125,20451.04883,20067.69141,19946.99219,19683.62695,18449.18555,16801.91016,15133.59668,13668.95215,12392.08691,11769.71191,11234.56836,11073.16504,11172.95703,11697.01953,12194.64258,12550.37012,12774.125,13000.26074,13339.85742,13872.58789,14322.26953,14239.44531,14175.82324,14195.20215,14235.2793,14461.36621,14596.74902,14372.60742,14157.2959,13635.87109,13315.65332,12980.44727,11986.85742,11046.80664,10373.0166,10125.29785,10161.88574,10159.44141,10102.52539,10227.4375,10122.37109,10081.39355,9651.219727,9226.932617,9144.960938,9099.688477,8955.15625,8918.359375,8707.807617,8623.213867,8331.285156,8045.484375,7841.462402,7177.852539,6466.541992,5177.855957,4869.10498,4410.771484,4130.953125,3898.834961,3146.080078,2871.182861,3194.986816,2713.510498,2409.90625,2305.547119,2278.31958,2691.107666,2604.600098,2531.167725,2475.924561,2467.835205,2446.76709,2458.072998,2309.053223,2155.81958,1915.451294,1670.547852,1267.763062,1271.381592,1234.954834,1095.471802,957.9347534,995.7445679,1068.356812,1266.910645,1205.298828,1192.995728,1148.383057,1146.501465,1114.867188,1088.395508,1057.308228,1039.858765,1028.794067,989.649353,924.9014282,879.050354,807.7890625,728.6795044,715.9904785,706.2766724,678.6309204,650.5831299,620.7180176,587.5238647,570.3317261,540.7561035,536.0439453,442.299408,340.3367004,349.342865,381.4434204,389.8063049,391.8487854,394.3737183,454.811554,527.0699463,486.4135437,432.3282776,412.5147095,406.4998779,403.3316345,372.356842,340.6905212,1670.563965,320.68396,1724.761841,307.3837585,1733.301636,278.7087708,1795.78186,272.500946,1839.011475,270.9570313,1852.649414,297.6699829,1824.907227,320.3944702,1811.46228,348.1688538,378.1786804,402.5114441,405.3097839,406.2264709,392.4598999,381.9098206,374.8174438,355.598938,343.3280334,339.5164795,339.4039307,343.1189575,373.0001526,429.1600342,562.4031372,716.7946167,817.6958618,851.0830078,1050.103271,1238.283936,1437.561523,1562.731201
GBR,United Kingdom,https://www.countryflags.io/gb/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265.676392,1186.134033,1106.591797,1027.049561,947.5072021,867.9649048,788.4226074,708.8803101,722.8735962,736.8669434,750.8602295,764.8535767,778.8468628,792.84021,806.8334961,1090.011108,1373.188721,1656.366333,1939.543823,2222.721436,2505.89917,2789.07666,2747.120361,2829.582031,3051.680176,3345.277344,3689.547119,3933.275635,3948.285645,4040.27832,4305.089355,4473.247559,4668.130859,4957.333984,5374.902344,5436.638184,5593.73291,5520.323242,5408.092773,5415.772949,5436.978027,5686.314941,5903.687988,6056.754883,6194.649902,6532.776367,6679.820313,6697.645996,6573.963379,6482.944336,6490.158203,6571.949219,6536.896973,6588.844238,6698.793945,6605.801758,6519.879395,6361.245605,6280.217773,6369.536133,6282.605957,5934.002441,5583.061035,5391.79541,5237.703613,5185.539063,5149.681152,5262.999023,5585.567383,5778.771484,5896.32373,5940.702637,5775.837402,5489.589355,5329.259766,5236.76416,5265.935059,5220.365723,5268.968262,5298.874023,5285.209961,5087.287109,5007.796387,5256.853516,5467.499023,5867.286133,6380.79541,6898.410156,7555.953613,8165.126953,8767.037109,9062.029297,9002.15625,8928.398438,8925.071289,8708.073242,8609.849609,8220.524414,8266.790039,8251.404297,8270.306641,8370.691406,8493.019531,7760.234375,6951.23877,6208.843262,5564.624512,5066.843262,4810.875488,4658.855469,5095.126465,5738.990723,6089.629395,6424.440918,6675.478027,6575.938477,6580.138672,6748.245605,6861.612793,6959.47998,7200.927734,7348.902344,7505.977539,7537.341309,7463.35498,7586.571289,7664.121582,7711.324707,7792.885742,7926.868652,8038.812988,7966.961426,7578.063477,7411.087402,6991.322754,6752.862305,6637.429688,6625.254883,6692.854492,6891.4375,6945.13623,7260.660645,7476.910156,7677.510742,7739.532715,7771.016602,7815.539063,7874.147949,7914.760742,7942.362305,7936.40625,8046.54248,8117.197266,8404.767578,8541.117188,8733.609375,8897.042969,8960.885742,8965.292969,8952.509766,8608.615234,8506.97168,8148.680664,4924.506836,7875.560059,4760.748535,7570.77002,4545.049805,7309.162109,4384.621094,7153.455566,4297.565918,7313.845703,4190.64502,7434.383789,4064.823486,7714.59375,3877.470215,7721.498047,7659.237793,7531.853516,7419.580566,7199.29834,7072.612793,6964.161621,6900.568359,6766.400391,6675.246094,6488.44043,6363.969238,6245.335449,5582.963867,5862.428223,5744.712402,5598.780273,5487.973145,5310.298828,5289.038086,5729.410156,5166.167969,5040.056152
ESP,Spain,https://www.countryflags.io/es/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986.815918,1064.739868,1246.450562,1431.311523,1498.810425,1499.702881,1500.595215,1501.487671,1459.128052,1356.324341,1303.866211,1211.551758,1189.83667,1168.121582,1200.558838,1191.675415,1128.535767,1132.220459,1078.797729,1106.699707,1134.601563,1165.647827,1246.481079,1433.939941,1569.014038,1550.495239,1531.976318,1513.45752,1508.618896,1430.114868,1389.495239,1327.585938,1349.657227,1371.728394,1393.799683,1395.924316,1395.732056,1411.105591,1565.946045,1582.000366,1598.054688,1614.109009,1650.546387,1813.995605,1994.674316,2044.18042,2114.891846,2185.603271,2256.314453,2269.835205,2364.771973,2420.612305,2643.486084,2660.564941,2677.644043,2694.7229,2869.30249,2839.602539,2878.765869,2690.033936,2668.137939,2646.241699,2624.345459,2430.726074,2297.828613,2091.055176,1955.565796,1983.358643,2011.151489,2038.944214,2066.737061,2036.102905,2329.256348,2583.747314,3027.915527,3290.103271,3552.29126,3814.479248,4052.238037,4319.815918,4586.477539,4206.676758,4008.856689,3793.716553,3578.576416,3920.894287,4037.804688,4485.600098,5453.54248,5701.330078,5966.437012,6231.544434,6266.202148,6344.260254,6330.003906,6407.463867,6376.603027,6345.741699,6314.880859,6005.862305,6293.920898,6181.40625,5908.544434,6062.88623,6217.228027,6536.100098,7133.708008,7210.432617,7493.322754,7233.952637,7375.854492,7517.756836,7436.883789,7749.974609,8028.090332,8192.110352,8160.078125,8128.045898,8096.013672,8339.599609,8264.49707,7883.244629,8045.695313,7889.893555,7734.091309,7578.289063,7401.896484,7174.339844,7421.625977,6956.124512,6897.420898,6838.716797,6780.012695,6987.570801,7042.367188,6844.501465,6628.462891,6752.869141,6877.274902,7001.680664,6848.586426,12163.57617,7101.816406,12225.57129,7440.009766,12287.56641,7994.733398,12349.56055,8565.886719,12147.68066,9137.040039,12069.69531,9708.193359,11896.17871,10236.19336,11668.29297,10369.54883,10519.62988,10776.08105,10475.87402,10175.66797,9875.460938,9645.791992,9831.200195,9820.704102,9553.780273,9538.913086,9524.046875,9509.179688,9913.724609,10184.21777,10527.41113,10368.13574,10531.05859,10693.98145,10856.90527,11249.15918,11354.22461,11398.0127
DEU,Germany,https://www.countryflags.io/de/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.5381165,520.230835,524.0423584,523.0877686,530.8986816,593.727356,614.4927368,636.8295898,674.4541016,719.9480591,802.7598267,852.7855835,901.8706055,897.4783325,919.8031616,944.7747192,1015.272949,1053.540161,1092.389771,1112.276367,1163.208496,1162.217773,1177.960205,1140.752808,1100.479858,1077.844849,1087.640869,1090.042847,1106.393555,1155.835327,1215.522705,1305.195923,1375.781982,1443.052856,1452.53186,1446.15625,1427.634399,1431.156372,1419.14624,1436.915161,1451.737427,1475.185791,1495.787476,1523.981201,1523.810669,1517.58667,1518.780884,1524.013916,1532.154053,1567.455688,1618.754883,1679.772583,1722.552612,1799.280029,1892.285767,1953.782349,1983.108276,2056.992432,2141.734131,2263.316162,2358.991211,2468.170166,2561.155273,2638.254639,2706.206299,2763.949951,2836.160889,2904.789551,2992.408936,3059.447266,3098.091797,3115.795166,2989.695068,2846.76001,2690.49292,2550.111572,2515.196045,2505.946289,2543.084717,2752.730713,2983.438477,3223.237305,3444.98291,3549.916016,3604.68042,3667.062744,3715.891113,3711.431641,3700.820557,3446.154541,3361.006348,3355.250977,3256.031738,3333.19165,3904.259766,4545.018066,5244.068359,5486.461914,5608.459473,5902.088867,6251.202637,6435.18457,6400.070313,6336.895508,6323.277832,6330.95752,6302.17627,6273.100098,6179.282715,6109.67041,6041.560059,6042.630371,6067.221191,6119.912598,6508.077637,7201.078125,7731.842285,8158.910645,8108.824219,8078.459473,8112.105469,8211.770508,8252.181641,8327.430664,8475.589844,8630.525391,8667.173828,8903.442383,9320.268555,9782.648438,8817.915039,8589.108398,8544.415039,8538.1875,8479.589844,8110.817871,7563.327148,8452.695313,8613.167969,8740.265625,8744.823242,8350.928711,7977.43457,8116.468262,8276.400391,8365.054688,8253.567383,8249.958984,8628.729492,8792.494141,9202.094727,8666.214844,9319.474609,8616.898438,8635.313477,8585.391602,8476.648438,8426.955078,8480.897461,8154.142578,8496.680664,8079.78125,8609.117188,8069.504395,8706.9375,8989.785156,9911.165039,10322.95703,10357.82324,10340.89844,10400.34473,10382.25391,10304.71289,10224.09668,10100.08496,10085.63086,10105.0127,10062.27539,10110.20605,10028.05273,9833.78125,9706.614258,9669.265625,9663.554688,9660.34082,9415.456055,8877.411133
