Localidad de residencia,Localidad de residencia,ingreso_pc_2011,ingreso_pc_2014,categoria,poblacion,06mar2020 ,07mar2020 ,08mar2020 ,09mar2020 ,10mar2020 ,11mar2020 ,12mar2020 ,13mar2020 ,14mar2020 ,15mar2020 ,16mar2020 ,17mar2020 ,18mar2020 ,19mar2020 ,20mar2020 ,21mar2020 ,22mar2020 ,23mar2020 ,24mar2020 ,25mar2020 ,26mar2020 ,27mar2020 ,28mar2020 ,29mar2020 ,30mar2020 ,31mar2020 ,01apr2020 ,02apr2020 ,03apr2020 ,04apr2020 ,05apr2020 ,06apr2020 ,07apr2020 ,08apr2020 ,09apr2020 ,10apr2020 ,11apr2020 ,12apr2020 ,13apr2020 ,14apr2020 ,15apr2020 ,16apr2020 ,17apr2020 ,18apr2020 ,19apr2020 ,20apr2020 ,21apr2020 ,22apr2020 ,23apr2020 ,24apr2020 ,25apr2020 ,26apr2020 ,27apr2020 ,28apr2020 ,29apr2020 ,30apr2020 ,01may2020 ,02may2020 ,03may2020 ,04may2020 ,05may2020 ,06may2020 ,07may2020 ,08may2020 ,09may2020 ,10may2020 ,11may2020 ,12may2020 ,13may2020 ,14may2020 ,15may2020 ,16may2020 ,17may2020 ,18may2020 ,19may2020 ,20may2020 ,21may2020 ,22may2020 ,23may2020 ,24may2020 ,25may2020 ,26may2020 ,27may2020 ,28may2020 ,29may2020 ,30may2020 ,31may2020 ,01jun2020 ,02jun2020 ,03jun2020 ,04jun2020 ,05jun2020 ,06jun2020 ,07jun2020 ,08jun2020 ,09jun2020 ,10jun2020 ,11jun2020 ,12jun2020 ,13jun2020 ,14jun2020 ,15jun2020 
La Candelaria,10,992930.07,1177066.67,M,24088,0,0,0,0,0,0,0,0,0,0,0,4.151444912,4.151444912,4.151444912,4.151444912,4.151444912,4.151444912,4.151444912,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,12.45433426,16.60577965,16.60577965,16.60577965,16.60577965,16.60577965,16.60577965,16.60577965,16.60577965,16.60577965,24.90866852,24.90866852,24.90866852,24.90866852,24.90866852,24.90866852,24.90866852,24.90866852,37.36300278,37.36300278,37.36300278,37.36300278,37.36300278,37.36300278,41.51444626,53.96878052,157.7548981,157.7548981,161.9063416,190.9664612,215.8751221,224.178009,224.178009,232.480896,265.6924744,278.1467896,294.7525635,327.9641418,336.2670288,365.3271484,381.9329224,381.9329224,390.2358093,406.8415833,415.1444702,427.5988159,440.0531311,444.2045898,444.2045898,460.8103638
Kennedy,9,636033.98,730392.03,L,1088443,0,0,0,0,0,0,.0918743536,.0918743536,.0918743536,.2756230831,.2756230831,.2756230831,.2756230831,.2756230831,.2756230831,.2756230831,.5512461662,.5512461662,.7349948287,.7349948287,1.469989657,1.929361463,2.664356232,3.031853676,3.215602398,3.491225481,3.950597286,5.420587063,6.614953518,7.625571728,7.80932045,9.095561028,10.28992748,11.20867157,12.3111639,13.04615879,13.22990704,13.8730278,14.51614857,15.06739426,15.80238914,17.54800224,19.56923866,21.31484985,23.15233803,25.08169937,26.0004425,28.11355209,29.58354187,33.44226456,37.85223389,39.78159714,42.17033005,44.46718979,45.29405594,47.31529236,48.87715912,50.99026871,53.47087479,56.96210098,61.64769363,66.51703644,73.40760803,78.82820129,82.41130066,87.92375946,96.28432465,99.49993134,107.5848694,115.4860687,125.9597397,132.2990723,139.465271,141.4865112,148.4689636,153.7976685,156.4620361,165.6494598,170.2431793,175.6637726,182.646225,192.8442688,207.1766663,223.6221771,230.9721375,238.597702,251.8276062,259.1775513,267.7218628,278.2874146,286.4642334,293.9060669,301.256012,309.8922119,319.9064941,333.3201599,341.9563599,347.1932068,361.3418579,371.7236328,380.3598328,386.5154114
Fuera de Bogotá,8,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Fontibón,7,1135394.73,1238465.52,M,394648,0,0,0,0,0,0,.2533903718,.2533903718,.5067807436,.5067807436,.5067807436,.5067807436,.7601711154,1.266951799,2.280513287,2.280513287,3.294074774,3.294074774,4.307636261,5.067807198,6.84153986,6.84153986,8.108491898,8.36188221,8.868662834,9.375443459,9.375443459,10.64239502,12.66951847,14.69664097,14.69664097,16.97715378,18.75088692,19.25766754,20.01783943,20.27122879,20.27122879,20.52462006,21.79157066,21.79157066,22.55174255,24.57886505,25.33903694,27.6195488,28.37972069,29.39328194,29.39328194,29.90006256,31.16701508,32.18057632,32.94074631,34.20769882,35.7280426,37.7551651,38.51533508,40.03567886,41.30262756,42.31618881,45.61026382,47.89077759,49.66451263,50.17129135,51.69163513,53.46536636,55.49248886,62.33403015,64.36115265,65.88149261,66.6416626,69.42896271,72.72303772,77.03067017,78.29762268,79.05779266,83.36543274,89.44680023,91.22052765,96.28833771,100.3425827,100.3425827,104.3968277,105.6637802,111.4917603,118.8400803,121.1205902,122.8943253,130.7494202,137.3375702,142.9121704,149.7537079,151.2740479,156.5952454,159.1291504,161.6630554,164.9571228,171.5452728,174.8393555,180.160553,188.269043,191.5631104,194.6038055,198.1512604
Engativá,6,801226.55,990737.3,M,887080,0,0,0,0,.2254588157,.2254588157,.2254588157,.6763764024,.7891058326,.9018352628,.9018352628,.9018352628,.9018352628,1.014564633,1.578211665,1.578211665,1.578211665,1.578211665,2.70550561,2.70550561,3.945529222,4.847364426,5.636470318,6.087388039,6.876493454,6.989223003,7.327411175,8.22924614,10.1456461,10.93475246,11.04748154,12.96388149,14.54209328,15.21846962,16.00757599,16.23303413,16.34576416,16.79668045,17.81124496,18.14943504,18.26216316,19.05126953,20.29129219,20.74221039,22.65860939,24.34955215,24.46228027,24.91319847,25.92776299,26.9423275,27.3932457,28.18235016,29.87329292,30.77512741,31.45150375,32.69152832,33.5933609,34.26973724,34.4951973,36.41159821,36.8625145,37.53889084,38.66618729,39.34256363,40.46985626,41.93533707,43.62627792,45.54267883,45.880867,47.23361969,48.69910431,49.60093689,50.27731323,50.84096146,54.44830322,55.91378403,56.92834854,59.74658585,60.9866066,61.88844299,63.69211197,65.38305664,69.32858276,75.19051361,79.92514801,82.17973328,84.77251434,87.13983154,91.3108139,98.18730927,101.3437347,104.0492401,107.0929337,111.1511917,113.8566971,119.3804398,124.0023422,127.2714996,130.9915619,134.0352631,136.4025726,139.6717377
Ciudad Bolívar,5,353195.74,449245.27,L,707569,0,0,0,0,0,0,0,0,0,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.1413289756,.2826579511,.2826579511,.4239869118,.4239869118,.8479738235,.8479738235,.8479738235,.989302814,1.413289785,2.119934559,2.119934559,3.674553394,3.957211256,6.359803677,6.642461777,7.066448689,7.066448689,7.7730937,8.197080612,8.903725624,9.186383247,9.893028259,11.58897591,13.00226593,14.27422619,14.9808712,15.40485764,15.40485764,16.53549004,17.52479172,17.94878006,19.78605652,20.7753582,21.48200417,21.62333298,23.46060944,24.02592468,25.01522827,26.71117592,27.98313713,29.39642715,31.65769005,33.77762604,35.47357178,36.32154465,37.31084824,39.28945541,40.42008591,41.12673187,42.82267761,46.073246,47.34520721,49.74779892,51.16108704,52.99836349,56.10760117,57.80355072,61.33677292,63.03272247,64.16335297,66.84860229,69.25119781,72.64308929,77.44828033,84.65605164,88.89592743,92.71180725,95.11439514,99.2129364,107.4100189,109.8126144,113.6284943,119.5643082,124.5108261,128.3267059,141.3289795,152.2113037,154.4725647,159.2777557,161.6803436,166.7681885,170.4427338
Chapinero,4,3258705.9,3813290.23,H,139701,0,0,0,0,0,0,0,0,.7158144712,5.010701656,5.010701656,8.589774132,8.589774132,11.45303154,12.16884613,12.16884613,13.60047531,14.3162899,20.75861931,20.75861931,24.33769226,25.76932144,27.20095062,28.6325798,32.21165085,32.92746735,34.35909653,35.07490921,43.6646843,47.24375534,47.95957184,53.68608856,54.40190125,54.40190125,55.83353043,57.26515961,57.26515961,57.98097229,57.98097229,58.69678879,58.69678879,61.56004715,68.00237274,68.71819305,70.8656311,72.2972641,74.44470978,74.44470978,74.44470978,75.16052246,75.87633514,79.45540619,80.88703918,83.75029755,85.18192291,85.8977356,88.04518127,89.47681427,89.47681427,90.19262695,93.05588531,93.05588531,95.20332336,97.35076904,97.35076904,97.35076904,98.06658173,99.49821472,100.9298401,101.6456604,105.9405441,105.9405441,107.3721771,108.0879898,113.8145065,118.1093903,119.5410233,120.9726486,125.9833527,128.1307983,129.5624237,130.9940491,137.4363861,141.0154572,147.4577789,151.7526703,171.0796661,178.9536285,187.543396,199.7122498,202.5755005,207.5861969,211.1652679,214.7443542,219.0392303,230.4922638,236.9346008,242.6611176,249.1034393,261.2722778,266.2829895,270.5778809
Bosa,3,400662.74,498088.39,L,673077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1485714167,.1485714167,.1485714167,.1485714167,.1485714167,1.188571334,1.188571334,1.337142706,1.634285569,2.079999685,2.525713921,2.674285412,3.565713882,4.90285635,6.091427803,6.091427803,7.279999256,7.874284744,8.617141724,9.211427689,9.359998703,9.359998703,9.657141685,10.10285568,10.84571266,11.58856964,12.47999859,14.55999851,15.74856949,16.19428444,17.53142738,17.6799984,18.57142639,19.6114254,20.65142632,20.65142632,22.4342823,23.62285423,25.70285416,27.0399971,28.97142601,30.30856705,32.68571091,35.95428085,40.26285172,44.27428055,47.09713745,51.99999237,54.37713623,56.75428009,60.02285004,62.84570694,63.73713684,64.92570496,67.15428162,74.5828476,76.81141663,79.03999329,81.86284637,85.72570801,87.50856018,88.39998627,93.89713287,96.57141876,98.50284576,104.7428436,110.0914154,116.1828461,123.31427,129.108551,135.9428406,141.8856964,151.8399811,158.2285461,163.5771179,169.0742645,175.9085541,182.445694,190.9142609,198.7885437,208.2971191,220.034256,223.4514008,231.0285492,236.6742554,246.62854,250.491394
Barrios Unidos,2,1223299.31,1343020.8,M,243465,0,0,0,0,0,0,0,0,0,.4107366502,.4107366502,.4107366502,.4107366502,.4107366502,.4107366502,.4107366502,.4107366502,.8214733005,.8214733005,.8214733005,2.053683281,2.464419842,2.464419842,3.696630001,3.696630001,4.107366562,4.107366562,4.518103123,5.750313282,6.161049843,6.161049843,7.393260002,7.803996563,9.036206245,9.857679367,9.857679367,9.857679367,9.857679367,10.2684164,10.2684164,10.2684164,11.08988953,13.55430984,14.37578297,14.78652,15.19725609,16.01873016,16.01873016,17.25094032,17.66167641,17.66167641,18.48315048,18.89388657,19.71535873,20.12609673,21.35830688,21.76904297,22.59051704,22.59051704,23.41198921,23.8227253,24.23346329,24.23346329,26.28714561,26.28714561,26.69788361,28.75156593,29.57304001,29.98377609,30.80525017,32.03746033,32.8589325,33.26966858,33.26966858,36.14482498,37.37703705,39.84145737,41.4844017,41.89513779,42.71661377,44.77029419,45.18103409,49.28839874,50.93134689,53.39576721,54.62797546,55.03871155,57.09239578,59.96755219,62.4319725,64.89639282,66.95007324,68.59302521,71.4681778,75.16481018,78.86143494,82.14733124,85.43322754,87.07617188,89.54058838,90.36206818,92.00501251
Antonio Nariño,1,710948.15,901505.71,M,109176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.9159522057,.9159522057,1.831904411,1.831904411,1.831904411,2.747856617,3.663808823,3.663808823,4.579761028,4.579761028,5.495713234,6.41166544,6.41166544,7.327617645,8.243570328,9.159522057,10.07547474,10.07547474,10.07547474,10.07547474,10.07547474,10.99142647,10.99142647,11.90737915,11.90737915,12.82333088,15.57118797,15.57118797,16.48714066,16.48714066,17.40309143,17.40309143,20.15094948,21.06690025,21.06690025,21.06690025,21.06690025,21.98285294,21.98285294,22.89880562,30.22642326,30.22642326,30.22642326,31.14237595,38.46999359,41.21784973,61.3687973,85.1835556,87.01546478,87.01546478,88.84736633,90.67926788,92.51117706,94.34307861,95.2590332,98.00688934,99.83879089,101.6707001,108.9983139,113.5780792,118.1578369,119.9897385,159.3756866,165.7873535,166.7033081,170.3671112,172.1990204,174.9468689,178.6106873,179.5266418,186.854248,194.1818695,197.8456879,204.2573395,207.9211578,216.1647186,218.9125824,227.1561584,234.4837646,235.3997192,243.6432953,248.223053,251.8868561,254.6347198
