barrio,category,16apr2020,23apr2020,30apr2020,07may2020,14may2020,21may2020,28may2020,04jun2020,11jun2020,18jun2020,25jun2020,02jul2020,06aug2020,09jul2020,16jul2020,23jul2020,30jul2020
RETIRO,Low,13.8,21.4,123.81,447.8,1228.91,2139.89,3321.41,3993.95,4198.77,4330.22,4473.89,4579.36,5450.6,4773.47,4909.51,5105.16,5271.77
RECOLETA,High,34.7,36.56,40.34,55.5,75.01,99.59,126.69,167.66,195.4,272.3,352.34,436.18,1314.83,564.13,709.1,890,1109.98
PALERMO,High,29.7,35.87,43.39,49.1,59.78,71.73,101.4,143.02,181.1,240.44,332.98,418.88,1373.54,572.09,740.79,946.25,1157.02
FLORES,Low,29.2,60.91,94.41,145,264.96,480.59,840.57,1244.41,1538,1943.66,2238.47,2461.41,3912.3,2712.97,2962.7,3281.87,3579.12
BARRACAS,Medium,8.9,10.05,18.99,31.3,60.32,146.33,368.61,615.46,957.26,1436.45,2047.45,2591.42,4924.82,3103.01,3451.51,4008.89,4433.35
BALVANERA,Medium,38.8,46.71,58.93,65.4,81.21,117.86,223.5,321.24,460.66,640.33,950.79,1208.79,3065.1,1560.93,1939.67,2327.75,2702.18
