comuna,ipcf,ranking_ipcf,poblacion,4/9/2020,4/16/2020,4/23/2020,4/30/2020,5/7/2020,5/14/2020,5/21/2020,5/28/2020,6/4/2020,6/11/2020,6/18/2020,6/25/2020,7/02/2020,7/09/2020,7/16/2020,7/23/2020,7/30/2020,8/6/2020
14,34357,1,226890.7563,4.848148346,6.170370579,6.170370579,7.492592812,5.729629517,10.57777786,11.89999962,28.207407,40.98888779,42.75185013,52.44814682,92.99629974,83.74073792,149.4111176,166.159256,199.6555481,204.9444427,213.7592621
2,31249,2,149855.182,5.338487625,7.340420246,2.001932859,4.003865719,16.01546288,20.68663788,26.0251255,28.69437027,44.70983124,46.04445267,63.39453888,82.74655151,90.75428772,139.4679871,150.1449585,190.183609,230.8895874,212.2048798
3,19692,10,192574.1203,5.192805767,6.231367111,5.712086201,11.4241724,6.231367111,13.50129509,34.79179764,93.98978424,111.1260452,147.9949646,150.5913696,276.2572632,241.4654694,331.3009949,332.3395691,380.6326599,342.2059021,350.5143738
1,22162,7,252052.5923,3.967426062,5.951138973,3.570683479,29.75569534,86.48988342,211.4638062,253.1217804,345.1660461,232.4911652,113.07164,131.3217926,158.300293,136.8761902,234.078125,199.5615234,292.0025635,275.3393555,245.1869202
7,17272,11,253402.6779,4.34091711,9.47109127,20.52069855,22.09921455,35.91122437,80.10964966,145.2234039,240.723587,271.5046387,289.6575623,209.9425354,225.7276917,172.8474274,206.7855072,195.3412628,269.5314941,246.2483826,292.4199524
4,14176,14,238324.0438,1.678387046,6.293951511,2.517580748,7.972338676,7.552742004,21.81903267,53.70838547,135.1101685,172.0346832,240.4289551,305.0468445,407.4284668,455.2625122,446.4509583,330.2226563,458.1996765,383.9310608,425.4711304
