barrio,population,category,23abr2020 ,30abr2020 ,07may2020 ,14may2020 ,21may2020 ,28may2020 ,04jun2020 ,11jun2020 ,18jun2020 ,25jun2020 ,02jul2020 ,09jul2020 ,16jul2020 ,23jul2020 ,30jul2020 
FLORESTA,37430.53125,Medium,8.014847755,16.02969551,0,16.02969551,16.02969551,53.43231583,53.43231583,104.1930161,152.2821045,149.6104889,130.9091797,245.7886505,219.0724945,317.9222717,248.4602661
FLORES,164185.5625,Low,31.67148209,33.49868393,50.55255508,119.9861908,215.6096954,359.9585571,403.8114014,293.570282,405.6385803,294.7883911,222.9185028,251.5446472,249.717453,319.1510925,297.2246704
CONSTITUCION,43962.84375,Medium,2.27464819,9.098592758,2.27464819,11.37324047,27.29577827,120.5563507,136.4788818,138.75354,218.3662262,216.091568,270.683136,357.119751,277.5070801,534.5422974,482.2254028
COLEGIALES,48465.95313,Medium,2.063304186,8.253216743,6.189912319,12.37982464,8.253216743,14.44312859,101.1018982,35.07616806,80.46885681,74.27894592,63.96242905,101.1018982,150.6212006,241.4065857,163.0010223
COGHLAN,18723.56445,Medium,5.340863228,0,5.340863228,10.68172646,32.04518127,80.11295319,37.38604355,53.40863419,42.72690582,85.45381165,117.4989929,133.5215912,149.5441742,224.3162689,202.9528046
CHACARITA,27567.60156,Medium,7.254892826,3.627446413,3.627446413,3.627446413,3.627446413,32.64701843,123.3331833,203.1370087,257.5487061,333.7250671,246.6663666,475.1954956,380.881897,333.7250671,424.4112549
CABALLITO,174751.7969,Medium,3.433441162,5.150161743,5.150161743,8.011362076,22.31736755,29.18424988,36.62337112,41.77353287,61.22969818,89.26947021,70.95777893,135.6209259,152.7881317,195.7061462,216.8790283
BOEDO,47356.51953,Medium,4.223283291,8.446566582,2.111641645,6.334925175,25.3397007,52.79104233,86.57730865,54.90268326,120.3635788,162.596405,103.4704437,213.2758026,198.4943237,238.615509,223.8340149
BOCA,44827.22266,Medium,4.461574554,13.38472366,-22.30787277,53.53889465,31.23102188,71.38519287,147.2319641,.,.,.,.,.,.,.,.
BELGRANO,126823.8828,Medium,18.92387962,11.03892994,5.51946497,7.096455097,10.25043488,26.02033615,38.63625717,27.59732628,47.30970001,64.65659332,67.02207947,112.7547913,151.391037,175.0458984,146.66008
BARRACAS,89545.28906,Medium,1.11675334,8.934026718,12.2842865,29.03558731,85.99000549,222.2339172,246.8024902,341.726532,479.0871887,610.8640747,543.8588867,511.4730225,348.4270325,557.2598877,424.366272
BALVANERA,139149.6719,Medium,7.905157089,12.21706104,6.46785593,15.81031418,36.65118408,105.6416397,97.73648834,139.4182281,179.6626587,310.4570618,257.995575,352.1388245,378.7288818,388.0713501,374.4169922
ALMAGRO,132009.2031,Medium,2.272568941,7.575229645,3.030091763,10.60532093,20.45311928,48.4814682,57.57174301,78.78238678,109.0833054,193.9258728,137.1116486,244.6799164,200.743576,261.3454285,228.0144043
AGRONOMIA,13894.51563,Medium,0,0,0,7.197084427,21.59125328,14.39416885,7.197084427,35.98542023,57.57667542,64.77375793,129.5475159,122.3504333,93.56209564,165.5329437,201.5183563
