barrio,population,category,23apr2020 ,30apr2020 ,07may2020 ,14may2020 ,21may2020 ,28may2020 ,04jun2020 ,11jun2020 ,18jun2020 ,25jun2020 ,02jul2020 ,09jul2020 ,16jul2020 ,23jul2020 ,30jul2020 ,06aug2020 
VILLA URQUIZA,92306.07031,Medium,2.166704655,5.416761875,0,1.083352327,9.750171661,21.6670475,16.2502861,24.91710472,48.75085831,91.00160217,87.75154114,99.66841888,109.4185867,182.0032043,176.586441,192.8367157
VILLA SOLDATI,46773.23438,Medium,2.137974977,6.413924694,6.413924694,4.275949955,44.89747238,117.5886154,211.6595154,322.834198,605.046875,756.8430786,829.5342407,784.6367798,461.8025818,585.8051147,553.7354736,530.2177734
VILLA SANTA RITA,33083.19922,Medium,9.06804657,6.04536438,3.02268219,6.04536438,9.06804657,24.18145752,27.20413971,42.31755066,114.8619232,157.1794739,126.952652,151.1341095,169.2702026,202.5197144,154.1567993,202.5197144
VILLA RIACHUELO,14055.18262,Medium,21.34444046,7.114813328,7.114813328,14.22962666,49.80369186,99.60738373,192.0999603,64.03331757,142.2962646,369.9702759,305.9369812,362.8554688,263.2480774,405.544342,327.2814026,434.0036011
VILLA REAL,13459.86816,Medium,7.429493427,7.429493427,7.429493427,0,0,22.28848076,7.429493427,22.28848076,37.14746475,96.58341217,74.2949295,252.6027679,66.86544037,237.7437897,267.4617615,200.5963135
VILLA PUEYRREDON,39654.8125,Medium,0,5.043524265,7.56528616,15.13057232,2.521762133,12.60881042,17.65233421,17.65233421,60.52228928,37.82643127,55.47876358,108.4357681,80.69638824,141.2186737,146.2621918,161.3927765
VILLA ORTUZAR,21542.5,Medium,0,4.641986847,0,0,4.641986847,13.92596054,18.56794739,37.13589478,23.20993423,37.13589478,83.55576324,143.9015961,143.9015961,102.1237106,120.691658,153.1855621
VILLA LURO,32553.86328,Medium,0,0,3.071831942,9.215496063,6.143663883,9.215496063,33.7901535,52.22114563,73.72396851,144.3760986,159.73526,150.5197754,181.2380829,211.9564056,190.4535828,165.8789368
VILLA LUGANO,126476.7578,Medium,2.371977329,5.534613609,9.487909317,13.44120502,31.62636375,60.88075256,135.202713,192.9208221,321.7982483,537.6481934,596.9476318,535.2761841,330.4955139,501.2778625,349.4713135,357.3779297
VILLA GRAL. MITRE,34930.41797,Medium,5.725668907,2.862834454,0,5.725668907,11.45133781,25.76550865,48.66818237,42.94251633,88.74786377,103.0620346,151.7302246,174.6328888,211.8497467,237.6152496,174.6328888,206.1240692
VILLA DEVOTO,66553.75781,Medium,0,3.005089521,1.502544761,9.015268326,13.52290249,12.02035809,31.55344009,34.5585289,103.6755905,82.63996124,87.14759827,111.1883087,105.1781311,213.3613586,126.2137604,210.3562622
VILLA DEL PARQUE,55082.63281,Medium,3.630908489,5.446362972,1.815454245,5.446362972,12.70817947,10.89272594,14.52363396,49.01726532,45.38635635,90.77271271,59.90999222,112.5581665,121.635437,119.8199844,132.5281677,154.3136139
VILLA CRESPO,81803.625,Medium,7.334638119,1.222439766,4.889759064,7.334638119,17.11415672,31.78343201,36.67319107,39.11807251,92.9054184,105.1298141,86.79322052,139.3581238,157.6947174,205.369873,207.8147583,227.3737793
VERSALLES,13879.82715,Medium,.,0,0,0,0,14.40940094,43.22820282,28.81880188,57.63760376,115.2752075,28.81880188,100.8658066,100.8658066,108.0705109,122.4799118,230.550415
VELEZ SARSFIELD,35120.78125,Medium,0,2.84731698,5.694633961,17.08390236,11.38926792,31.32048798,48.40438843,145.2131653,153.755127,76.87756348,116.7399979,150.9078064,199.3121948,130.9765778,176.5336609,233.4799957
SAN TELMO,20225.90234,Medium,0,4.944155216,0,14.83246517,39.55324173,29.66493034,103.8272552,49.44155121,108.7714157,177.9895935,113.7155685,296.6493225,311.481781,306.5376282,247.2077637,395.5324097
SAN NICOLAS,29507.21484,Medium,6.778003216,0,6.778003216,16.94500923,13.55600643,54.22402573,40.66801834,67.78003693,118.6150589,152.5050812,108.4480515,294.8431396,264.3421326,311.788147,352.4561768,386.3461914
SAN CRISTOBAL,48638.78125,Medium,0,10.2798624,6.167917728,8.223890305,30.83958817,69.90306854,160.36586,71.95903778,178.8696136,197.3733673,219.9890594,302.2279663,222.0450439,392.6907654,294.0040894,283.7242126
SAAVEDRA,50124.94531,Medium,3.990029335,1.995014668,0,0,11.97008801,17.95513153,15.96011734,33.91524887,43.89032364,61.84545517,31.92023468,125.6859207,115.7108459,155.611145,145.6360626,135.6609955
RETIRO,65411.96875,Low,7.643860817,102.4277344,324.0997009,781.2025757,911.1482544,1181.740967,672.65979,204.8554688,131.474411,143.7045898,105.4852829,194.154068,136.06073,195.6828461,166.6361694,178.8663483
RECOLETA,158636.4375,High,1.891116619,3.782233238,15.12893295,19.54153824,24.58451653,27.10600471,40.97419357,27.73637772,76.90541077,80.05726624,83.83950043,127.9655533,144.985611,180.9168243,219.9998932,204.8709717
PUERTO MADERO,6737.276855,Medium,0,0,29.68558502,44.52837753,14.84279251,14.84279251,59.37117004,89.05675507,59.37117004,519.4977417,430.440979,252.3274689,267.1702576,282.0130615,282.0130615,385.9125977
PATERNAL,19721.52734,Medium,0,0,5.070600986,10.14120197,20.28240395,96.34142303,207.8946533,111.5532227,187.6122437,319.447876,552.6955566,425.9305115,197.7534485,436.0717163,618.6133423,268.7418518
PARQUE PATRICIOS,40965.80078,Medium,2.441060543,4.882121086,0,17.08742332,48.82121277,112.2887878,134.2583313,97.64242554,231.9007568,270.9577332,290.4862061,361.276947,300.2504578,414.9802856,319.7789307,414.9802856
PARQUE CHAS,17581.60938,Medium,5.687761307,0,5.687761307,5.687761307,22.75104523,34.12656784,22.75104523,51.18985367,79.62866211,51.18985367,45.50209045,119.4429932,85.31642151,199.0716553,193.3838959,130.818512
PARQUE CHACABUCO,56270.80078,Medium,1.77712059,1.77712059,14.21696472,10.66272354,24.87968826,35.5424118,49.75937653,85.30178833,119.0670776,149.2781372,129.7297974,175.9349365,159.9408569,261.2367249,241.6884003,222.1400757
PARQUE AVELLANEDA,53206.50391,Medium,5.638408661,39.46886063,0,7.517878056,30.07151222,52.62514496,46.9867363,71.41983795,125.9244537,304.4740601,327.0276794,321.3892822,249.9694366,370.2554932,278.1614685,345.8223877
PALERMO,225837.7656,High,6.199140549,7.527527332,5.756344795,10.62709808,11.95548534,29.66731453,41.62279892,38.08043289,59.33462906,92.54431152,85.90237427,153.2073212,168.7051697,205.4572296,210.7707672,216.5271149
NUÑEZ,52522.85938,Medium,1.903932929,1.903932929,1.903932929,-15.23146343,30.46292686,13.32752991,34.27079391,24.75112724,34.27079391,38.07865906,55.21405411,66.63764954,106.6202393,129.4674377,116.1399078,152.3146362
NUEVA POMPEYA,42229.01172,Medium,4.736080647,7.104120731,4.736080647,23.68040276,42.62472534,104.1937714,161.0267334,267.588562,343.3658447,419.1431274,731.7244263,599.1141968,419.1431274,506.7606201,423.8792114,419.1431274
MONTE CASTRO,33743.72266,Medium,0,2.96351409,5.927028179,5.927028179,8.89054203,5.927028179,17.78108406,32.5986557,41.48919678,82.97839355,71.12433624,142.2486725,133.358139,136.3216553,136.3216553,180.7743683
